prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028,delta_028_to_029,delta_029_to_030,delta_030_to_031,delta_031_to_032,delta_032_to_033,delta_033_to_034,delta_034_to_035,delta_035_to_036,delta_036_to_037,delta_037_to_038,delta_038_to_039,delta_039_to_040,delta_040_to_041,delta_041_to_042,delta_042_to_043,delta_043_to_044,delta_044_to_045,delta_045_to_046,delta_046_to_047,delta_047_to_048,delta_048_to_049,delta_049_to_050,delta_050_to_051,delta_051_to_052,delta_052_to_053,delta_053_to_054,delta_054_to_055,delta_055_to_056,delta_056_to_057,delta_057_to_058,delta_058_to_059,delta_059_to_060,delta_060_to_061,delta_061_to_062,delta_062_to_063,delta_063_to_064
1,5, ist,61.096275329589844,21.205110549926758,21.13898277282715,31.268943786621094,40.94306945800781,30.174449920654297,31.0223388671875,24.069229125976562,45.261451721191406,47.079341888427734,43.550384521484375,43.40145492553711,60.232261657714844,53.21368408203125,52.40839767456055,72.41029357910156,63.68979263305664,52.90604782104492,45.25770568847656,46.20124816894531,51.93587112426758,49.24120330810547,60.347412109375,54.1286506652832,40.99033737182617,45.91806411743164,52.47551345825195,54.20100021362305,59.294097900390625,59.44993209838867,54.57266616821289,57.059600830078125,69.31859588623047,67.24349975585938,67.19241333007812,58.81248474121094,65.03641510009766,57.85795974731445,49.60578918457031,49.97045135498047,54.32233810424805,46.71864700317383,53.72634506225586,58.53990936279297,79.60475158691406,73.20872497558594,78.2942886352539,86.30809020996094,86.92674255371094,123.86107635498047,104.94418334960938,158.6391143798828,133.44699096679688,138.08071899414062,161.74789428710938,202.34829711914062,212.7134552001953,215.00514221191406,279.4638977050781,307.2181091308594,372.8740234375,580.0264282226562,941.034423828125,2065.828857421875
2,0,La,81.49627685546875,43.802574157714844,44.990943908691406,58.19552230834961,15899.107421875,9769.990234375,3129.84423828125,29.532075881958008,187.20474243164062,23.4354248046875,301.1421813964844,21.689289093017578,135.9993133544922,30.254714965820312,39.942745208740234,56.44404602050781,34.043548583984375,28.64692497253418,21.278976440429688,64.53059387207031,35.353172302246094,26.702953338623047,141.2473602294922,40.126747131347656,19.203550338745117,27.73517608642578,28.928529739379883,46.4572868347168,46.48841857910156,35.4458122253418,28.88983726501465,46.237518310546875,61.073638916015625,140.1954803466797,51.652347564697266,297.26898193359375,64.48303985595703,201.61141967773438,412.2005310058594,197.00814819335938,185.69981384277344,185.66265869140625,207.62493896484375,61.71839904785156,44.24216842651367,32.579078674316406,31.745502471923828,34.60636901855469,30.858976364135742,78.83403015136719,48.088680267333984,46.17955017089844,51.568031311035156,49.95730972290039,47.008689880371094,51.87677001953125,191.84530639648438,199.27374267578125,310.6086730957031,731.7005615234375,6679.4326171875,1987.073486328125,4247.4404296875,17270.80859375
2,1, capit,71.54952239990234,21.341691970825195,24.05049705505371,39.12895584106445,70.41651916503906,42.71685791015625,45.706871032714844,38.62236022949219,58.875579833984375,54.03601837158203,54.89870834350586,48.416988372802734,49.931663513183594,50.579708099365234,45.614627838134766,49.460323333740234,46.57719421386719,44.4895133972168,37.89397048950195,45.09478759765625,41.11659240722656,37.221561431884766,33.742469787597656,33.59434127807617,27.832979202270508,29.037628173828125,36.34142303466797,43.91612243652344,39.808677673339844,41.930145263671875,43.63325500488281,40.5402946472168,49.453857421875,50.933963775634766,39.995914459228516,45.58820343017578,39.34313201904297,42.11490249633789,36.13834762573242,39.40583038330078,38.7138557434082,34.26654815673828,52.07155990600586,55.98727798461914,56.43216323852539,62.737667083740234,66.41607666015625,63.706050872802734,70.13179016113281,129.41416931152344,119.67171478271484,218.86863708496094,130.76771545410156,215.9494171142578,181.48883056640625,233.20887756347656,254.01083374023438,231.68072509765625,258.7140197753906,311.729248046875,267.4902648925781,500.8526916503906,645.3123779296875,1808.7919921875
2,2,ale,56.62088394165039,18.027557373046875,22.245227813720703,34.665035247802734,77.7966079711914,36.923004150390625,74.22404479980469,42.59773635864258,93.20794677734375,54.26355743408203,58.21725845336914,56.076419830322266,62.9818229675293,60.066566467285156,59.09453201293945,63.92549133300781,58.69510269165039,49.870079040527344,45.355140686035156,50.56351852416992,46.98503875732422,42.48978042602539,43.13072204589844,40.16674041748047,38.81845474243164,39.436771392822266,46.26881790161133,46.75926208496094,53.124176025390625,50.001747131347656,57.577144622802734,52.76744842529297,64.04669189453125,55.93899154663086,53.61311721801758,52.164886474609375,50.67148208618164,49.394073486328125,45.211273193359375,44.76520538330078,48.11503601074219,45.96298599243164,56.64870834350586,57.16813659667969,72.1739273071289,68.67228698730469,74.30256652832031,71.0810317993164,89.58148956298828,129.11741638183594,99.44709777832031,169.2389373779297,129.88018798828125,145.6446075439453,146.1017608642578,168.6170196533203,207.13580322265625,204.6187286376953,324.7073669433594,311.8388366699219,413.19873046875,544.0310668945312,1240.7589111328125,2485.672607421875
2,3, du,58.14632034301758,20.912002563476562,36.84067916870117,31.42249870300293,39.13532257080078,38.51271057128906,30.02480697631836,30.1434383392334,49.41362380981445,63.028167724609375,44.02931213378906,50.52900314331055,71.20484924316406,65.2811279296875,62.705047607421875,59.165626525878906,60.049007415771484,52.25133514404297,52.8931884765625,50.86425018310547,46.81707000732422,45.33248519897461,44.298404693603516,44.27520751953125,38.582679748535156,40.99162673950195,51.599117279052734,51.82543182373047,50.838356018066406,51.864070892333984,53.709930419921875,60.73356628417969,67.30538177490234,58.756439208984375,57.518943786621094,50.07429504394531,49.97957992553711,47.9263801574707,50.082157135009766,45.139278411865234,46.906349182128906,41.7918701171875,54.584232330322266,58.1646842956543,70.66668701171875,57.30290603637695,77.7867202758789,74.32083892822266,102.90160369873047,116.0120620727539,109.8565902709961,153.4986572265625,143.51202392578125,160.385009765625,201.81634521484375,177.76776123046875,240.22137451171875,269.9739990234375,252.88543701171875,308.3420104980469,380.1310729980469,482.0123596191406,999.7211303710938,2305.763427734375
2,4, J,57.038639068603516,18.865724563598633,22.886919021606445,30.38906478881836,40.113399505615234,56.974266052246094,38.86445617675781,60.20228958129883,54.24193572998047,49.55536651611328,56.10040283203125,51.245582580566406,57.98398208618164,62.68735885620117,63.90333557128906,62.42173385620117,55.28507995605469,49.890716552734375,49.821861267089844,51.91542434692383,48.126136779785156,43.67540740966797,48.51173400878906,42.83046340942383,38.76522445678711,40.1165885925293,50.161521911621094,54.91761016845703,46.812557220458984,45.118980407714844,47.3990592956543,43.078651428222656,56.24345779418945,52.17119598388672,48.797855377197266,46.702571868896484,43.435646057128906,46.906803131103516,42.90931701660156,39.09519958496094,35.56612014770508,39.441680908203125,51.288944244384766,51.01191711425781,55.40938186645508,54.713714599609375,57.189815521240234,63.53300857543945,76.20806121826172,79.57550048828125,125.21600341796875,147.95382690429688,139.36587524414062,187.19583129882812,183.83486938476562,245.8226776123047,268.75262451171875,260.8958740234375,278.22857666015625,290.9695129394531,340.40191650390625,487.5858459472656,829.1278686523438,1883.2435302734375
2,5,apon,57.99549865722656,15.516392707824707,24.843564987182617,28.36148452758789,41.93227767944336,86.21755981445312,38.47458267211914,44.65475845336914,59.52489471435547,58.580589294433594,58.94417953491211,60.45058822631836,70.96259307861328,61.8808479309082,62.93303298950195,76.68518829345703,62.602962493896484,55.423431396484375,49.527347564697266,48.14796447753906,52.41321563720703,47.95231628417969,48.37314224243164,42.694271087646484,41.68485641479492,41.999752044677734,47.38655090332031,50.79505920410156,58.16142654418945,45.87828826904297,47.45013427734375,57.14078140258789,69.71965026855469,59.047115325927734,55.901161193847656,53.42060852050781,58.09774398803711,54.38306427001953,55.40760803222656,51.16931915283203,52.76893615722656,49.1718864440918,59.00153350830078,66.72706604003906,77.13607788085938,79.49739837646484,75.70339965820312,80.07213592529297,89.52591705322266,100.86299896240234,103.27885437011719,142.1947479248047,122.39994812011719,133.57920837402344,125.97216796875,175.37049865722656,229.4383087158203,200.36033630371094,245.30247497558594,324.09478759765625,364.2869873046875,619.0238037109375,1277.0079345703125,2495.886474609375
2,6, est,56.12773895263672,18.815942764282227,21.645299911499023,25.94526481628418,29.821287155151367,28.480627059936523,30.424476623535156,28.712310791015625,38.89352035522461,50.53999328613281,41.971370697021484,42.00189971923828,72.4849624633789,58.13864517211914,55.8062744140625,74.09246063232422,70.8409194946289,59.67466354370117,49.61407470703125,51.282020568847656,51.19024658203125,50.686893463134766,52.188602447509766,48.244510650634766,46.33085250854492,50.469722747802734,61.2591438293457,60.182037353515625,62.26387023925781,69.50851440429688,59.88994216918945,66.026611328125,82.84542083740234,75.8602523803711,74.61091613769531,64.4273910522461,71.26726531982422,62.68402862548828,56.19404220581055,52.966365814208984,55.639286041259766,52.32976150512695,58.39807891845703,61.75087356567383,68.18073272705078,70.8725357055664,78.2336196899414,87.87409210205078,85.48699188232422,110.73106384277344,110.17425537109375,162.92991638183594,135.71441650390625,143.66552734375,162.32901000976562,202.85858154296875,233.060302734375,236.82127380371094,273.96636962890625,357.04180908203125,388.85186767578125,599.8540649414062,1052.998779296875,2241.141357421875
3,0,La,81.49627685546875,43.802574157714844,44.990943908691406,58.19552230834961,15899.107421875,9769.990234375,3129.84423828125,29.532075881958008,187.20474243164062,23.4354248046875,301.1421813964844,21.689289093017578,135.9993133544922,30.254714965820312,39.942745208740234,56.44404602050781,34.043548583984375,28.64692497253418,21.278976440429688,64.53059387207031,35.353172302246094,26.702953338623047,141.2473602294922,40.126747131347656,19.203550338745117,27.73517608642578,28.928529739379883,46.4572868347168,46.48841857910156,35.4458122253418,28.88983726501465,46.237518310546875,61.073638916015625,140.1954803466797,51.652347564697266,297.26898193359375,64.48303985595703,201.61141967773438,412.2005310058594,197.00814819335938,185.69981384277344,185.66265869140625,207.62493896484375,61.71839904785156,44.24216842651367,32.579078674316406,31.745502471923828,34.60636901855469,30.858976364135742,78.83403015136719,48.088680267333984,46.17955017089844,51.568031311035156,49.95730972290039,47.008689880371094,51.87677001953125,191.84530639648438,199.27374267578125,310.6086730957031,731.7005615234375,6679.4326171875,1987.073486328125,4247.4404296875,17270.80859375
3,1, capital,74.8760986328125,21.47032356262207,25.552534103393555,30.966684341430664,69.92391204833984,38.73478698730469,48.195560455322266,46.14577865600586,89.83474731445312,53.19313430786133,65.6574935913086,63.40873336791992,65.44424438476562,60.83121871948242,58.477142333984375,63.59563446044922,52.44821548461914,50.45293045043945,42.28802490234375,50.67793655395508,42.49987030029297,41.311561584472656,40.211063385009766,38.017581939697266,36.36022186279297,34.945167541503906,41.817928314208984,44.91040802001953,47.719940185546875,49.311058044433594,57.82386779785156,46.299407958984375,57.41178512573242,55.5339241027832,48.02190399169922,56.03947448730469,46.35568618774414,48.381473541259766,44.937442779541016,44.77667999267578,44.41633987426758,42.67909622192383,53.215980529785156,62.444942474365234,65.8442153930664,71.30123901367188,76.65479278564453,66.86172485351562,87.63544464111328,134.1878204345703,96.25987243652344,165.4205322265625,133.21826171875,151.6934814453125,150.05825805664062,162.19532775878906,204.00209045410156,210.87496948242188,313.48919677734375,300.3597717285156,428.2840881347656,490.8843078613281,1056.3218994140625,2303.056396484375
