prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028,layer_029,layer_030,layer_031,layer_032,layer_033,layer_034,layer_035,layer_036,layer_037,layer_038,layer_039,layer_040,layer_041,layer_042,layer_043,layer_044,layer_045,layer_046,layer_047,layer_048,layer_049,layer_050,layer_051,layer_052,layer_053,layer_054,layer_055,layer_056,layer_057,layer_058,layer_059,layer_060,layer_061,layer_062,layer_063,layer_064
1,5, ist,1.5277788639068604,61.26998519897461,69.37504577636719,75.19781494140625,85.19905853271484,100.79234313964844,109.35740661621094,118.74922180175781,121.58723449707031,131.97035217285156,145.00941467285156,154.29641723632812,162.06080627441406,168.85330200195312,171.59996032714844,173.40597534179688,189.12530517578125,194.30992126464844,192.2575225830078,190.3209228515625,191.12242126464844,199.85240173339844,204.3419952392578,214.09690856933594,205.94558715820312,205.54718017578125,209.7017822265625,215.45761108398438,221.55401611328125,233.5147247314453,234.98114013671875,233.36578369140625,240.380859375,248.9300079345703,258.65948486328125,264.1033630371094,256.87872314453125,265.98736572265625,263.7535095214844,266.5390625,269.1630859375,285.78021240234375,281.9266662597656,285.7145690917969,297.38177490234375,330.3742980957031,345.968994140625,360.06005859375,377.9704284667969,398.0450744628906,446.9327087402344,460.6044616699219,520.9613647460938,563.2865600585938,613.7650146484375,669.6521606445312,743.4507446289062,834.1060180664062,902.7320556640625,1001.2244262695312,1114.7596435546875,1266.5118408203125,1574.0167236328125,2148.496337890625,193.97718811035156
2,0,La,1.6246535778045654,81.67261505126953,109.55207824707031,138.9502716064453,143.7329864501953,15963.95703125,25722.044921875,28800.228515625,28800.09375,28953.42578125,28953.201171875,29183.072265625,29183.0703125,29259.892578125,29259.515625,29258.939453125,29262.513671875,29261.962890625,29261.341796875,29261.44921875,29265.994140625,29265.7578125,29265.87890625,29346.732421875,29347.56640625,29347.65234375,29348.4296875,29348.23828125,29350.33984375,29351.490234375,29352.09765625,29352.25,29353.634765625,29356.1484375,29434.845703125,29436.7109375,29609.53125,29611.484375,29765.375,30165.046875,30329.712890625,30484.19140625,30638.96875,30829.244140625,30822.064453125,30821.158203125,30820.53515625,30820.029296875,30819.466796875,30818.99609375,30814.68359375,30812.44921875,30812.326171875,30809.375,30807.771484375,30806.99609375,30806.3828125,30648.39453125,30488.408203125,30245.61328125,29607.798828125,23061.658203125,21268.4453125,17322.32421875,158.5264129638672
2,1, capit,1.3460025787353516,71.68692779541016,78.60477447509766,85.60079956054688,99.77793884277344,132.277587890625,143.02703857421875,152.1072235107422,156.47677612304688,167.20816040039062,192.19432067871094,212.45529174804688,221.8812713623047,223.87820434570312,230.76516723632812,234.95201110839844,239.78024291992188,245.51573181152344,250.68588256835938,252.4537811279297,257.9165954589844,262.6455993652344,262.53448486328125,263.0439453125,262.9470520019531,263.1478576660156,264.2602844238281,267.1739501953125,273.0047607421875,276.0009765625,280.1657409667969,284.623779296875,290.63031005859375,296.65679931640625,305.3830871582031,305.5521545410156,306.852294921875,308.126953125,303.9573974609375,308.478515625,315.82403564453125,327.9459533691406,323.60430908203125,327.82135009765625,341.68505859375,354.0018005371094,359.2270202636719,375.5768127441406,383.3541564941406,398.4464111328125,447.64434814453125,485.25091552734375,572.2849731445312,606.232666015625,677.6682739257812,733.8889770507812,818.5721435546875,913.9700927734375,990.9534301757812,1080.982421875,1203.7525634765625,1269.60205078125,1508.83154296875,1860.344970703125,125.13992309570312
2,2,ale,1.676797866821289,56.78287887573242,60.69910430908203,64.32289123535156,76.3788070678711,116.10997009277344,123.33714294433594,145.9209747314453,148.10916137695312,179.36265563964844,191.31802368164062,201.35733032226562,208.04129028320312,220.43296813964844,226.04327392578125,231.50738525390625,239.2750244140625,247.84239196777344,249.22222900390625,247.91358947753906,257.9128723144531,263.7236022949219,267.2204284667969,270.4229431152344,271.4471435546875,271.17999267578125,272.109619140625,278.0113220214844,280.8806457519531,289.6384582519531,297.5777587890625,304.24072265625,308.056640625,311.6101379394531,314.69281005859375,315.6255798339844,322.1962585449219,327.84423828125,328.46417236328125,331.54754638671875,335.525634765625,350.3680725097656,347.746826171875,350.3926696777344,357.9957275390625,385.50262451171875,404.7890319824219,428.8930969238281,445.81317138671875,473.65130615234375,526.1986083984375,555.8173828125,631.2280883789062,679.8773803710938,742.7922973632812,797.7361450195312,864.8900756835938,968.1459350585938,1057.5623779296875,1193.15185546875,1338.365966796875,1516.369384765625,1790.65380859375,2592.043701171875,205.38697814941406
2,3, du,1.6490620374679565,58.339717864990234,67.29373168945312,82.35623931884766,88.84313201904297,99.53592681884766,111.64007568359375,115.88870239257812,117.86799621582031,128.1868438720703,152.66587829589844,158.51791381835938,167.7712860107422,184.33055114746094,193.8850555419922,199.99697875976562,205.4711456298828,217.72975158691406,222.50811767578125,222.9871826171875,229.55828857421875,232.34417724609375,235.65457153320312,238.8483428955078,238.13735961914062,238.4388427734375,241.47735595703125,248.40078735351562,251.85910034179688,253.64810180664062,256.35015869140625,258.81390380859375,265.5939636230469,267.1021423339844,267.7677917480469,270.3258361816406,268.581298828125,271.5052795410156,272.4728088378906,278.5082702636719,281.0138854980469,291.9674377441406,288.8058166503906,294.7272033691406,306.1098937988281,331.0014953613281,327.8647155761719,353.8683776855469,376.7459411621094,406.10394287109375,444.812255859375,480.2895202636719,539.9806518554688,602.8375854492188,672.6508178710938,764.1142578125,849.3260498046875,975.4478149414062,1108.5848388671875,1227.9141845703125,1397.2081298828125,1577.90625,1830.577392578125,2404.648681640625,196.7620849609375
2,4, J,1.7617214918136597,57.18668746948242,66.31159210205078,75.68020629882812,91.00458526611328,108.71099853515625,128.41436767578125,136.7760772705078,153.38369750976562,160.78866577148438,172.9054718017578,190.6122283935547,195.39279174804688,190.33436584472656,184.14987182617188,192.41311645507812,194.63917541503906,199.82339477539062,202.9635009765625,207.44418334960938,217.2877197265625,220.30136108398438,221.63328552246094,227.58245849609375,226.79298400878906,227.95848083496094,232.2213897705078,235.8162384033203,240.14332580566406,243.7667999267578,241.10247802734375,245.2362518310547,244.2565460205078,251.33656311035156,258.56964111328125,260.3036193847656,262.196533203125,263.7174377441406,262.643798828125,269.66943359375,272.7908935546875,274.91015625,268.080078125,272.7824401855469,280.2143859863281,290.46136474609375,300.6042175292969,311.7318420410156,327.9986267089844,341.748779296875,373.5811462402344,431.1141357421875,491.51959228515625,550.2462768554688,635.4710083007812,704.3941040039062,813.7447509765625,910.6974487304688,1007.9515991210938,1097.5399169921875,1198.0721435546875,1280.514404296875,1493.3289794921875,1950.1221923828125,156.01710510253906
2,5,apon,1.3851238489151,58.13123321533203,61.41037368774414,68.95743560791016,78.96575164794922,96.74284362792969,135.9329071044922,143.5672149658203,153.27330017089844,169.13099670410156,185.4732208251953,183.7187957763672,184.96824645996094,194.27194213867188,196.96844482421875,203.97975158691406,212.6238250732422,215.8199462890625,218.58050537109375,218.26393127441406,224.2789764404297,231.615478515625,235.85614013671875,240.53883361816406,236.81036376953125,237.65570068359375,239.82896423339844,242.9504852294922,247.57275390625,261.7193298339844,264.22784423828125,264.881591796875,264.593505859375,269.9505920410156,275.43402099609375,273.9972839355469,277.8399658203125,290.1781921386719,290.18792724609375,303.3606262207031,303.31591796875,313.2167663574219,311.045654296875,315.8680725097656,336.3146057128906,368.93267822265625,397.11859130859375,418.356689453125,435.8247375488281,461.8441162109375,505.9230041503906,522.5540771484375,569.6943359375,615.0318603515625,668.4315185546875,707.3345947265625,770.8629150390625,886.6249389648438,970.6610107421875,1077.6314697265625,1232.127685546875,1376.903076171875,1717.0946044921875,2589.901123046875,192.5113067626953
2,6, est,1.630285382270813,56.32878112792969,64.19087219238281,71.75550079345703,79.13639068603516,87.6226577758789,96.35664367675781,103.52466583251953,108.56965637207031,118.88829040527344,134.78213500976562,145.65914916992188,152.75172424316406,166.67645263671875,169.78176879882812,173.5408935546875,189.38345336914062,203.4999542236328,203.9854736328125,198.8003692626953,203.4493408203125,211.57470703125,216.5450439453125,220.3496856689453,217.009033203125,220.63304138183594,225.53782653808594,237.22036743164062,242.30747985839844,251.97142028808594,258.9891052246094,256.1900939941406,261.4760437011719,268.4703369140625,275.7650451660156,277.2469787597656,273.43426513671875,284.5899353027344,282.44732666015625,285.2460021972656,287.4214172363281,301.7728271484375,298.1495361328125,305.8467712402344,317.4228210449219,336.1367492675781,352.0002746582031,365.1362609863281,389.1252136230469,411.6433410644531,456.087158203125,479.5631103515625,544.4498901367188,594.1080932617188,647.5585327148438,704.5048828125,776.4197998046875,884.8383178710938,976.007568359375,1072.16748046875,1222.694091796875,1377.1038818359375,1678.5390625,2339.781494140625,180.3297119140625
3,0,La,1.6246535778045654,81.67261505126953,109.55207824707031,138.9502716064453,143.7329864501953,15963.95703125,25722.044921875,28800.228515625,28800.09375,28953.42578125,28953.201171875,29183.072265625,29183.0703125,29259.892578125,29259.515625,29258.939453125,29262.513671875,29261.962890625,29261.341796875,29261.44921875,29265.994140625,29265.7578125,29265.87890625,29346.732421875,29347.56640625,29347.65234375,29348.4296875,29348.23828125,29350.33984375,29351.490234375,29352.09765625,29352.25,29353.634765625,29356.1484375,29434.845703125,29436.7109375,29609.53125,29611.484375,29765.375,30165.046875,30329.712890625,30484.19140625,30638.96875,30829.244140625,30822.064453125,30821.158203125,30820.53515625,30820.029296875,30819.466796875,30818.99609375,30814.68359375,30812.44921875,30812.326171875,30809.375,30807.771484375,30806.99609375,30806.3828125,30648.39453125,30488.408203125,30245.61328125,29607.798828125,23061.658203125,21268.4453125,17322.32421875,158.5264129638672
3,1, capital,1.621339201927185,75.06719207763672,81.23756408691406,87.42758178710938,94.73291778564453,130.74343872070312,137.22515869140625,146.5550079345703,153.5133514404297,185.3402862548828,198.57102966308594,210.8981170654297,221.62205505371094,233.29315185546875,237.74400329589844,244.81011962890625,248.32373046875,250.96728515625,255.9227752685547,255.2380828857422,262.2613220214844,266.3382263183594,268.0301513671875,269.3443908691406,270.03985595703125,268.44256591796875,271.33978271484375,276.33489990234375,281.51788330078125,287.1387939453125,295.3824157714844,304.4554443359375,308.15460205078125,311.9000244140625,319.5731201171875,317.9268493652344,326.05413818359375,330.8565979003906,330.6516418457031,335.9674377441406,340.35546875,350.0375061035156,348.7886657714844,352.0064392089844,363.7578125,384.55169677734375,407.1881408691406,430.11492919921875,440.48162841796875,466.75042724609375,517.7430419921875,546.6632690429688,612.5750732421875,663.7398681640625,729.360595703125,785.2322998046875,848.0026245117188,948.181884765625,1033.485595703125,1166.88330078125,1298.71435546875,1484.935546875,1732.3851318359375,2401.95703125,210.34915161132812
