prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028
2,0,La,45.16355895996094,2140.994873046875,2798.783935546875,37.62461853027344,109.78250122070312,45.29884338378906,39.23356246948242,41.91925811767578,40.305763244628906,27.352436065673828,27.22459602355957,25.257844924926758,21.298704147338867,28.669300079345703,18.903013229370117,14.118820190429688,21.345256805419922,22.212173461914062,17.939672470092773,16.534652709960938,28.032638549804688,33.7717170715332,39.70556640625,62.324886322021484,136.9716033935547,434.41204833984375,2471.1572265625,2394.83251953125
2,1, capit,38.076881408691406,24.046049118041992,33.957122802734375,26.324045181274414,32.822696685791016,26.694923400878906,28.088146209716797,28.727384567260742,25.11492919921875,24.62335968017578,20.234481811523438,21.672622680664062,19.18822479248047,20.31710433959961,17.495943069458008,18.6359920501709,19.290754318237305,23.778940200805664,26.655189514160156,41.087684631347656,37.073524475097656,76.31909942626953,80.06303405761719,117.06939697265625,122.70281982421875,103.43433380126953,159.7624053955078,385.1453552246094
2,2,ale,29.017393112182617,23.927946090698242,43.81536865234375,27.2728328704834,34.83256149291992,29.565277099609375,35.218711853027344,32.88490676879883,30.842893600463867,35.584999084472656,29.756391525268555,29.04230308532715,27.671537399291992,28.694395065307617,28.40495491027832,24.3908748626709,23.189199447631836,28.10772132873535,37.39173126220703,45.00151824951172,46.48697280883789,89.18795013427734,76.94933319091797,99.93416595458984,123.07079315185547,138.28781127929688,243.83612060546875,497.5828857421875
2,3, de,34.33635711669922,23.447538375854492,32.771270751953125,29.116926193237305,33.7279052734375,26.240337371826172,31.315841674804688,30.806039810180664,34.88288116455078,36.42734909057617,33.288612365722656,28.60793113708496,26.159439086914062,31.098228454589844,29.25927734375,28.87984275817871,25.30784797668457,27.65745735168457,35.77546691894531,41.69541549682617,46.85527038574219,94.64869689941406,77.95713806152344,98.2320327758789,127.41323852539062,169.27951049804688,249.65040588378906,528.3477783203125
2,4, l,32.34800338745117,29.230825424194336,26.711292266845703,26.87664222717285,37.0068244934082,26.028928756713867,31.608413696289062,29.365419387817383,29.1666316986084,29.909015655517578,32.73417663574219,32.93919372558594,30.165063858032227,31.868680953979492,29.82140350341797,28.80596160888672,23.506319046020508,25.557628631591797,35.08141326904297,52.2679328918457,48.84368896484375,86.75794219970703,85.74373626708984,135.1903076171875,122.38658905029297,152.96482849121094,238.6271209716797,469.3032531738281
2,5,',31.664331436157227,32.29106521606445,30.89832305908203,43.726566314697266,40.55219650268555,31.9267635345459,32.76481246948242,28.794031143188477,26.09591293334961,22.548734664916992,21.013996124267578,28.93337059020996,24.57095718383789,29.35334014892578,30.222618103027344,28.306318283081055,23.08198356628418,25.6519718170166,35.43122863769531,49.353702545166016,47.5782470703125,93.52831268310547,89.7686767578125,97.14498138427734,137.1569061279297,165.2864227294922,242.57049560546875,489.9255676269531
2,6,Al,35.35154724121094,27.182411193847656,37.749691009521484,33.31724548339844,39.50170135498047,32.593990325927734,29.00568962097168,27.448822021484375,21.52069854736328,21.50946044921875,21.892993927001953,28.550601959228516,24.97567367553711,29.223390579223633,22.914430618286133,23.47020721435547,23.267093658447266,25.42730712890625,34.511478424072266,50.712066650390625,44.81937026977539,88.49055480957031,117.49728393554688,116.5936050415039,136.15260314941406,123.87873077392578,182.2474822998047,437.8211975097656
2,7,lem,33.31359100341797,24.296445846557617,36.59280776977539,35.59817123413086,38.57789993286133,33.23894119262695,31.179101943969727,29.639028549194336,25.820613861083984,28.096200942993164,23.35413360595703,27.981843948364258,25.923521041870117,32.778602600097656,28.47278594970703,29.535083770751953,23.522506713867188,24.901193618774414,30.43700408935547,52.596229553222656,39.016536712646484,79.85492706298828,102.6097412109375,119.93347930908203,111.34639739990234,104.0341796875,163.29405212402344,372.6371154785156
2,8,agne,32.721187591552734,23.94721794128418,38.03076934814453,48.809226989746094,36.328941345214844,31.527742385864258,28.81795883178711,30.42991828918457,31.91305160522461,31.707918167114258,28.630617141723633,29.101076126098633,27.36789321899414,31.487913131713867,27.29184341430664,29.60824966430664,25.949369430541992,33.02492904663086,36.805076599121094,50.599403381347656,41.935523986816406,72.54505920410156,75.61201477050781,86.46410369873047,117.32486724853516,113.22923278808594,229.1050567626953,411.1513977050781
2,9, est,33.23720169067383,21.373355865478516,33.142120361328125,25.58005142211914,30.547977447509766,23.83088493347168,29.712507247924805,28.00899887084961,42.149600982666016,41.396629333496094,37.79899597167969,31.891813278198242,27.79859733581543,35.97622299194336,33.1541748046875,31.438892364501953,28.65898323059082,34.924442291259766,40.8197135925293,45.56669998168945,70.47623443603516,93.39102935791016,90.60830688476562,118.98433685302734,115.4588394165039,153.76876831054688,243.60569763183594,449.44378662109375
