prompt_idx,token_pos,token_text,cos_000_to_001,cos_001_to_002,cos_002_to_003,cos_003_to_004,cos_004_to_005,cos_005_to_006,cos_006_to_007,cos_007_to_008,cos_008_to_009,cos_009_to_010,cos_010_to_011,cos_011_to_012,cos_012_to_013,cos_013_to_014,cos_014_to_015,cos_015_to_016,cos_016_to_017,cos_017_to_018,cos_018_to_019,cos_019_to_020,cos_020_to_021,cos_021_to_022,cos_022_to_023,cos_023_to_024,cos_024_to_025,cos_025_to_026,cos_026_to_027,cos_027_to_028,cos_028_to_029,cos_029_to_030,cos_030_to_031,cos_031_to_032,cos_032_to_033,cos_033_to_034,cos_034_to_035,cos_035_to_036,cos_036_to_037,cos_037_to_038,cos_038_to_039,cos_039_to_040,cos_040_to_041,cos_041_to_042,cos_042_to_043,cos_043_to_044,cos_044_to_045,cos_045_to_046,cos_046_to_047,cos_047_to_048,cos_048_to_049,cos_049_to_050,cos_050_to_051,cos_051_to_052,cos_052_to_053,cos_053_to_054,cos_054_to_055,cos_055_to_056,cos_056_to_057,cos_057_to_058,cos_058_to_059,cos_059_to_060,cos_060_to_061,cos_061_to_062,cos_062_to_063,cos_063_to_064
0,0,The,0.07631634175777435,0.9260770678520203,0.9773849844932556,0.9637423753738403,0.5958887338638306,0.9997074604034424,0.9998076558113098,0.9999995827674866,0.9999938607215881,0.9999998211860657,0.9999799132347107,0.9999998807907104,0.9999932050704956,0.999999463558197,0.9999990463256836,0.9999983906745911,0.9999993443489075,0.999999463558197,0.9999998211860657,0.9999977350234985,0.9999993443489075,0.9999996423721313,0.9999930262565613,0.9999991059303284,0.9999998807907104,0.9999995827674866,0.9999996423721313,0.999998927116394,0.9999989867210388,0.9999992847442627,0.9999995231628418,0.999998927116394,0.9999979734420776,0.9999929070472717,0.9999984502792358,0.9999696612358093,0.9999976754188538,0.9999911785125732,0.9999947547912598,0.9999940991401672,0.9999948740005493,0.9999949336051941,0.9999966621398926,0.9999983310699463,0.9999989867210388,0.9999995827674866,0.9999995827674866,0.9999994039535522,0.999999463558197,0.9999969005584717,0.9999988675117493,0.9999988079071045,0.9999987483024597,0.9999986886978149,0.9999988675117493,0.9999987483024597,0.9999943375587463,0.9999930262565613,0.9999815225601196,0.9999210834503174,0.9987367987632751,0.9992985725402832,0.9962591528892517,0.3367931544780731
0,1, capital,0.1368996649980545,0.9723083972930908,0.9745004773139954,0.9562277793884277,0.9505380988121033,0.9706920981407166,0.9731482267379761,0.9610796570777893,0.922073483467102,0.966609537601471,0.9767603278160095,0.977904736995697,0.9737948775291443,0.9727374315261841,0.9737585783004761,0.9733834862709045,0.9785153865814209,0.98317950963974,0.9839415550231934,0.9861606359481812,0.9869331121444702,0.9863446950912476,0.9881214499473572,0.9894289970397949,0.9919120669364929,0.9899606704711914,0.9884957075119019,0.9879578351974487,0.9879768490791321,0.9883626699447632,0.9692485928535461,0.9863083958625793,0.9814793467521667,0.9824061989784241,0.986116349697113,0.9878391027450562,0.989770233631134,0.9887067675590515,0.9907404184341431,0.990071177482605,0.9906119704246521,0.9906005859375,0.9862751960754395,0.9846366047859192,0.982879638671875,0.9867525696754456,0.9732297658920288,0.9869092702865601,0.985012948513031,0.9353863000869751,0.9789189696311951,0.9403899312019348,0.9746921062469482,0.9729077816009521,0.9725072979927063,0.97027188539505,0.9757813215255737,0.9724249839782715,0.9756163954734802,0.9710544943809509,0.970262348651886,0.9666267037391663,0.950567364692688,0.41262227296829224
0,2, of,0.08269988745450974,0.9677179455757141,0.9721899032592773,0.9552769660949707,0.9251726269721985,0.9568123817443848,0.9559186100959778,0.9461758732795715,0.8686375021934509,0.9327716827392578,0.9642480611801147,0.9630570411682129,0.9543428421020508,0.9574095010757446,0.9572150707244873,0.9551164507865906,0.9637522101402283,0.9714676737785339,0.9740143418312073,0.9762884378433228,0.9765679240226746,0.9765723347663879,0.9809550046920776,0.9816760420799255,0.9849498271942139,0.9819958806037903,0.9790525436401367,0.97882479429245,0.9788346886634827,0.9795808792114258,0.974312961101532,0.9794429540634155,0.9645792245864868,0.9687379598617554,0.9730567932128906,0.9757698178291321,0.9768393039703369,0.979985773563385,0.9803145527839661,0.9829703569412231,0.9847537279129028,0.9833394289016724,0.976568341255188,0.976036787033081,0.9673316478729248,0.9790964126586914,0.974277675151825,0.9740859270095825,0.9693808555603027,0.9590696692466736,0.9703765511512756,0.9675322771072388,0.9770514369010925,0.9786822199821472,0.9779309034347534,0.982663094997406,0.9834693074226379,0.9804531931877136,0.9833402037620544,0.9817967414855957,0.9807510375976562,0.9736518263816833,0.954746425151825,0.4063294231891632
0,3, Germany,0.11959175020456314,0.9733596444129944,0.9582229256629944,0.964754045009613,0.9269102215766907,0.9588661193847656,0.9769056439399719,0.9847800731658936,0.9702291488647461,0.9789740443229675,0.9700417518615723,0.9609782695770264,0.9463291168212891,0.955657422542572,0.9534408450126648,0.9320505261421204,0.9568079710006714,0.9676295518875122,0.9739413261413574,0.977055549621582,0.9748547673225403,0.979580819606781,0.9797118306159973,0.9835615754127502,0.9842941164970398,0.9826153516769409,0.981153666973114,0.9786456227302551,0.9814388751983643,0.9829332828521729,0.9687325954437256,0.9798170328140259,0.9659126996994019,0.9739764332771301,0.9789930582046509,0.9791944026947021,0.9806331992149353,0.9816497564315796,0.9834808111190796,0.9852432608604431,0.9847162961959839,0.9869770407676697,0.983388364315033,0.9800241589546204,0.9790005087852478,0.9849193692207336,0.980444610118866,0.9838441014289856,0.9861221313476562,0.9802535176277161,0.9826960563659668,0.9777260422706604,0.9857488870620728,0.9880436062812805,0.9876218438148499,0.9854201078414917,0.9854961633682251,0.9878422021865845,0.9899172782897949,0.9835327863693237,0.9852480292320251,0.9758214354515076,0.9415878057479858,0.40859779715538025
0,4, is,0.12529149651527405,0.9555022120475769,0.9777672290802002,0.9655841588973999,0.905283510684967,0.9458866715431213,0.9542593359947205,0.9652998447418213,0.9367260336875916,0.934533953666687,0.9634619951248169,0.960074782371521,0.9331965446472168,0.9491387605667114,0.949492335319519,0.932734489440918,0.9395446181297302,0.9604021310806274,0.9674689173698425,0.9644742608070374,0.9648233652114868,0.9693779349327087,0.9721607565879822,0.9753378629684448,0.9784974455833435,0.9730960726737976,0.965275764465332,0.971967339515686,0.9691368937492371,0.9668024778366089,0.9705294370651245,0.9700216054916382,0.950079619884491,0.9555500745773315,0.9629622101783752,0.9688548445701599,0.9663556218147278,0.9727771878242493,0.9776182174682617,0.9801303744316101,0.9793619513511658,0.9798006415367126,0.9752293229103088,0.974938690662384,0.9731094241142273,0.9781720638275146,0.9791005849838257,0.9763076305389404,0.9784576296806335,0.9721304178237915,0.9766918420791626,0.9610645174980164,0.9788066744804382,0.9788471460342407,0.9747872352600098,0.9773306250572205,0.9720833897590637,0.9784647226333618,0.9796794652938843,0.9664314389228821,0.9683695435523987,0.9716368317604065,0.9390323758125305,0.45190954208374023
1,0,The,0.07631634175777435,0.9260770678520203,0.9773849844932556,0.9637423753738403,0.5958887338638306,0.9997074604034424,0.9998076558113098,0.9999995827674866,0.9999938607215881,0.9999998211860657,0.9999799132347107,0.9999998807907104,0.9999932050704956,0.999999463558197,0.9999990463256836,0.9999983906745911,0.9999993443489075,0.999999463558197,0.9999998211860657,0.9999977350234985,0.9999993443489075,0.9999996423721313,0.9999930262565613,0.9999991059303284,0.9999998807907104,0.9999995827674866,0.9999996423721313,0.999998927116394,0.9999989867210388,0.9999992847442627,0.9999995231628418,0.999998927116394,0.9999979734420776,0.9999929070472717,0.9999984502792358,0.9999696612358093,0.9999976754188538,0.9999911785125732,0.9999947547912598,0.9999940991401672,0.9999948740005493,0.9999949336051941,0.9999966621398926,0.9999983310699463,0.9999989867210388,0.9999995827674866,0.9999995827674866,0.9999994039535522,0.999999463558197,0.9999969005584717,0.9999988675117493,0.9999988079071045,0.9999987483024597,0.9999986886978149,0.9999988675117493,0.9999987483024597,0.9999943375587463,0.9999930262565613,0.9999815225601196,0.9999210834503174,0.9987367987632751,0.9992985725402832,0.9962591528892517,0.3367931544780731
1,1, capital,0.1368996649980545,0.9723083972930908,0.9745004773139954,0.9562277793884277,0.9505380988121033,0.9706920981407166,0.9731482267379761,0.9610796570777893,0.922073483467102,0.966609537601471,0.9767603278160095,0.977904736995697,0.9737948775291443,0.9727374315261841,0.9737585783004761,0.9733834862709045,0.9785153865814209,0.98317950963974,0.9839415550231934,0.9861606359481812,0.9869331121444702,0.9863446950912476,0.9881214499473572,0.9894289970397949,0.9919120669364929,0.9899606704711914,0.9884957075119019,0.9879578351974487,0.9879768490791321,0.9883626699447632,0.9692485928535461,0.9863083958625793,0.9814793467521667,0.9824061989784241,0.986116349697113,0.9878391027450562,0.989770233631134,0.9887067675590515,0.9907404184341431,0.990071177482605,0.9906119704246521,0.9906005859375,0.9862751960754395,0.9846366047859192,0.982879638671875,0.9867525696754456,0.9732297658920288,0.9869092702865601,0.985012948513031,0.9353863000869751,0.9789189696311951,0.9403899312019348,0.9746921062469482,0.9729077816009521,0.9725072979927063,0.97027188539505,0.9757813215255737,0.9724249839782715,0.9756163954734802,0.9710544943809509,0.970262348651886,0.9666267037391663,0.950567364692688,0.41262227296829224
1,2, of,0.08269988745450974,0.9677179455757141,0.9721899032592773,0.9552769660949707,0.9251726269721985,0.9568123817443848,0.9559186100959778,0.9461758732795715,0.8686375021934509,0.9327716827392578,0.9642480611801147,0.9630570411682129,0.9543428421020508,0.9574095010757446,0.9572150707244873,0.9551164507865906,0.9637522101402283,0.9714676737785339,0.9740143418312073,0.9762884378433228,0.9765679240226746,0.9765723347663879,0.9809550046920776,0.9816760420799255,0.9849498271942139,0.9819958806037903,0.9790525436401367,0.97882479429245,0.9788346886634827,0.9795808792114258,0.974312961101532,0.9794429540634155,0.9645792245864868,0.9687379598617554,0.9730567932128906,0.9757698178291321,0.9768393039703369,0.979985773563385,0.9803145527839661,0.9829703569412231,0.9847537279129028,0.9833394289016724,0.976568341255188,0.976036787033081,0.9673316478729248,0.9790964126586914,0.974277675151825,0.9740859270095825,0.9693808555603027,0.9590696692466736,0.9703765511512756,0.9675322771072388,0.9770514369010925,0.9786822199821472,0.9779309034347534,0.982663094997406,0.9834693074226379,0.9804531931877136,0.9833402037620544,0.9817967414855957,0.9807510375976562,0.9736518263816833,0.954746425151825,0.4063294231891632
1,3, France,0.1041080579161644,0.9691790342330933,0.9445110559463501,0.9625718593597412,0.9222835302352905,0.954868733882904,0.9775205850601196,0.9796643257141113,0.9644321799278259,0.9771865010261536,0.9607024192810059,0.9590566158294678,0.938066303730011,0.9377249479293823,0.9477887749671936,0.9236928224563599,0.9492558836936951,0.9651975631713867,0.9718864560127258,0.9711565971374512,0.9765649437904358,0.9773861765861511,0.9765313863754272,0.9816962480545044,0.982454240322113,0.9817659854888916,0.9769083261489868,0.9786967039108276,0.9803797602653503,0.9812334775924683,0.9779532551765442,0.9762683510780334,0.9521353840827942,0.9712873697280884,0.972101628780365,0.9705072045326233,0.9713702201843262,0.9760330319404602,0.9788380861282349,0.9852921366691589,0.9845020771026611,0.9863272309303284,0.9825910925865173,0.9772377014160156,0.9788722395896912,0.982359766960144,0.985351026058197,0.9845197200775146,0.9843225479125977,0.9762445092201233,0.9829996824264526,0.9814047813415527,0.9872914552688599,0.9874670505523682,0.9886389970779419,0.9841037392616272,0.9848754405975342,0.989905595779419,0.9902430772781372,0.9838300347328186,0.9870761632919312,0.9772161245346069,0.9435562491416931,0.3817543685436249
1,4, is,0.1289486587047577,0.9560767412185669,0.9791614413261414,0.9639894962310791,0.9042434692382812,0.945382833480835,0.9563619494438171,0.9608826637268066,0.9352951049804688,0.9348032474517822,0.96665358543396,0.9637157917022705,0.9336086511611938,0.9499975442886353,0.9495091438293457,0.9408111572265625,0.9392574429512024,0.9583306908607483,0.9670071005821228,0.9644036889076233,0.9653516411781311,0.9677411913871765,0.974022626876831,0.9753221869468689,0.9770973920822144,0.9738959074020386,0.9625567197799683,0.9687649011611938,0.9667735695838928,0.9648685455322266,0.9654058814048767,0.9663721323013306,0.9473754167556763,0.9542877078056335,0.9600409865379333,0.9692302346229553,0.9641976952552795,0.9713659882545471,0.9760730266571045,0.9805458784103394,0.9795829653739929,0.9799224138259888,0.9733654856681824,0.9720523953437805,0.9708208441734314,0.9763907790184021,0.9767590761184692,0.9736762642860413,0.9775555729866028,0.9722357392311096,0.9771686792373657,0.9632455110549927,0.9793879389762878,0.979161262512207,0.9769080877304077,0.9729079008102417,0.9784771203994751,0.9837546348571777,0.9819405674934387,0.9768779873847961,0.98195481300354,0.9751603007316589,0.9480365514755249,0.4256730079650879
