prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028,layer_029,layer_030,layer_031,layer_032,layer_033,layer_034,layer_035,layer_036,layer_037,layer_038,layer_039,layer_040,layer_041,layer_042,layer_043,layer_044,layer_045,layer_046,layer_047,layer_048,layer_049,layer_050,layer_051,layer_052,layer_053,layer_054,layer_055,layer_056,layer_057,layer_058,layer_059,layer_060,layer_061,layer_062,layer_063,layer_064
0,0,2,1.4177995920181274,59.143646240234375,81.23186492919922,95.17253112792969,98.86742401123047,607.0514526367188,483.0311279296875,377.9490661621094,300.53448486328125,353.91552734375,382.5061340332031,428.3050231933594,439.40496826171875,461.882080078125,481.22021484375,505.3639831542969,508.04205322265625,507.7987976074219,506.33270263671875,508.1479797363281,507.234375,498.35882568359375,494.4708557128906,494.0685119628906,490.7820739746094,486.7590026855469,486.7676086425781,586.169677734375,587.8809204101562,597.2459716796875,609.3607788085938,614.293701171875,614.1317749023438,627.731689453125,623.4933471679688,625.4201049804688,638.4649047851562,634.547119140625,642.408935546875,643.9922485351562,642.66943359375,660.7115478515625,664.42333984375,697.7722778320312,732.029541015625,802.81494140625,854.660400390625,921.5077514648438,961.2239379882812,987.3170776367188,1027.7261962890625,1066.5980224609375,1108.45556640625,1195.6754150390625,1259.459716796875,1334.8934326171875,1387.546630859375,1433.2884521484375,1505.0870361328125,1570.9229736328125,1700.495361328125,1854.8658447265625,2181.141357421875,3467.886474609375,202.96377563476562
0,1, +,1.6827943325042725,64.6115951538086,83.29122161865234,91.09799194335938,97.07048034667969,113.85697174072266,15875.4951171875,18964.07421875,19041.158203125,19119.2734375,19157.31640625,19388.484375,19388.748046875,19466.673828125,19544.2265625,19621.78125,19704.619140625,19783.216796875,19821.8203125,19821.8828125,19904.1953125,19982.744140625,19982.75390625,20065.11328125,20105.880859375,20105.787109375,20106.505859375,20106.740234375,20147.607421875,20187.80078125,20228.515625,20229.46484375,20309.408203125,20389.732421875,20469.287109375,20510.267578125,20724.96875,20805.2421875,20845.51953125,21285.37109375,21464.4296875,21543.349609375,21582.640625,21782.091796875,21859.30859375,21858.4453125,21898.330078125,21818.52734375,21816.943359375,21816.025390625,21812.51953125,21809.666015625,21808.798828125,21805.09765625,21801.7265625,21799.779296875,21759.15234375,21676.912109375,21514.75390625,21294.513671875,20850.482421875,15545.1923828125,14112.671875,12285.775390625,184.49087524414062
0,2, ,1.3829126358032227,50.854000091552734,74.8857421875,85.21991729736328,91.18648529052734,105.69432830810547,118.70059967041016,127.94148254394531,138.31515502929688,146.9041748046875,163.98350524902344,171.6058349609375,193.80706787109375,199.16847229003906,202.8883819580078,210.881103515625,211.04583740234375,222.87399291992188,229.41506958007812,233.12973022460938,235.85015869140625,238.3418426513672,239.64292907714844,244.02484130859375,244.0354766845703,245.4449462890625,245.20391845703125,247.2365264892578,251.48828125,259.77655029296875,264.888427734375,269.9513854980469,276.1279602050781,299.14337158203125,309.6758728027344,316.0454406738281,324.91192626953125,323.1717224121094,324.3435363769531,331.1314392089844,339.7689208984375,349.548095703125,343.8490295410156,342.3839416503906,350.5677185058594,373.6945495605469,393.18157958984375,406.5559997558594,426.3578796386719,459.8326721191406,499.94952392578125,523.7499389648438,580.484619140625,612.6973876953125,643.0621337890625,677.86572265625,723.6437377929688,785.5125122070312,825.5464477539062,877.18408203125,954.1863403320312,1054.5035400390625,1365.2069091796875,2285.075439453125,182.5558319091797
0,3,2,1.4177995920181274,49.348567962646484,65.58242797851562,73.69473266601562,84.69404602050781,101.70632934570312,111.8197250366211,123.2642593383789,131.87591552734375,145.56472778320312,161.32713317871094,175.1391143798828,182.76043701171875,188.53375244140625,186.7704620361328,185.0374755859375,186.1329345703125,198.2004852294922,199.78619384765625,202.69163513183594,205.8470916748047,210.1442108154297,212.55087280273438,216.11685180664062,218.3401641845703,221.92135620117188,224.51583862304688,231.57696533203125,237.47103881835938,242.8731689453125,243.58465576171875,248.34918212890625,259.152099609375,274.1883544921875,280.0574951171875,290.4375915527344,293.5368957519531,292.8135986328125,298.39495849609375,300.9432067871094,308.06781005859375,329.16522216796875,322.0140075683594,325.7715148925781,343.8218994140625,371.2528076171875,386.7295227050781,402.7599182128906,432.0308532714844,467.0271911621094,502.9465026855469,537.236572265625,619.3818359375,657.2139892578125,706.9452514648438,757.039794921875,838.5047607421875,905.8614501953125,983.1339111328125,1036.9468994140625,1144.1705322265625,1300.7286376953125,1537.4317626953125,2348.918701171875,195.8545379638672
0,4, =,1.6369329690933228,49.92901611328125,66.42231750488281,73.21217346191406,83.03096771240234,96.11278533935547,110.84902954101562,117.51163482666016,124.03572845458984,138.01791381835938,152.87034606933594,165.1513671875,174.74948120117188,178.17337036132812,176.18446350097656,174.2510986328125,173.92005920410156,191.21546936035156,195.6124267578125,198.9507293701172,203.3189239501953,211.56272888183594,218.56468200683594,222.6494598388672,222.06333923339844,227.5042724609375,227.93849182128906,230.93081665039062,235.06173706054688,240.75021362304688,243.52809143066406,242.55650329589844,245.42210388183594,262.7233581542969,271.714599609375,287.6942138671875,292.29541015625,294.6199951171875,298.8975524902344,305.18670654296875,312.8773498535156,334.5607604980469,326.60614013671875,330.27337646484375,339.8282775878906,370.18646240234375,389.5582580566406,412.7397155761719,438.1658020019531,473.7353820800781,537.1114501953125,554.0881958007812,590.7777709960938,635.4505615234375,664.9345092773438,706.9057006835938,776.3571166992188,832.2579956054688,890.708984375,972.1635131835938,1065.2974853515625,1259.7724609375,1446.6444091796875,2209.01708984375,169.24314880371094
1,0,1,1.4903733730316162,62.59090805053711,97.48533630371094,123.78477478027344,127.12179565429688,13033.5,22655.52734375,25696.787109375,25773.330078125,25850.94921875,25889.05078125,26119.21875,26119.341796875,26196.810546875,26273.771484375,26350.609375,26432.90234375,26510.517578125,26548.759765625,26548.9609375,26630.166015625,26707.62109375,26707.845703125,26789.037109375,26829.359375,26829.41015625,26830.15234375,26830.0078125,26870.37109375,26871.1484375,26872.279296875,26873.1640625,26913.171875,26914.544921875,26993.052734375,26994.484375,27167.46875,27168.314453125,27246.59765625,27645.8359375,27811.34765625,27889.740234375,28046.138671875,28237.0078125,28233.30859375,28231.837890625,28230.8359375,28230.421875,28229.349609375,28228.376953125,28225.0,28222.826171875,28222.6484375,28219.197265625,28216.453125,28215.1875,28213.548828125,28054.630859375,27893.939453125,27726.197265625,27167.58984375,21226.19140625,19579.583984375,16394.28125,137.90570068359375
1,1, +,1.6827943325042725,63.151546478271484,80.92347717285156,89.16779327392578,98.70742797851562,111.23968505859375,122.05007934570312,128.12673950195312,138.35324096679688,159.45069885253906,182.55767822265625,195.40939331054688,205.05393981933594,211.93765258789062,221.25189208984375,227.09986877441406,228.84844970703125,233.8804473876953,241.1479034423828,245.740478515625,250.63351440429688,250.849365234375,251.41397094726562,252.4550323486328,254.60328674316406,255.05319213867188,257.5579833984375,266.70465087890625,269.1719970703125,276.047119140625,281.46490478515625,285.0022888183594,297.9424133300781,313.0602722167969,322.50762939453125,331.5364990234375,341.198486328125,338.6584777832031,339.26922607421875,344.62542724609375,354.3496398925781,362.1797180175781,355.43017578125,360.114013671875,368.1145324707031,396.68658447265625,409.1884765625,424.5528564453125,449.6584167480469,487.11968994140625,534.162353515625,554.6671752929688,613.4669799804688,658.6005249023438,698.9619750976562,749.8236694335938,812.0747680664062,876.8363037109375,924.7933349609375,985.1878051757812,1091.587158203125,1217.2510986328125,1464.04052734375,2194.040771484375,185.25674438476562
1,2, ,1.3829126358032227,48.08534622192383,72.88059997558594,83.97174072265625,90.65756225585938,99.85624694824219,110.06270599365234,122.53958892822266,132.6535186767578,143.2528839111328,158.68186950683594,172.2826385498047,182.85848999023438,186.81161499023438,184.874267578125,184.955078125,181.14886474609375,190.54127502441406,192.35911560058594,195.2228546142578,194.97732543945312,201.99942016601562,206.04347229003906,206.4881591796875,207.38294982910156,210.4148712158203,214.02371215820312,221.13853454589844,226.81346130371094,228.0401153564453,227.1835174560547,228.39027404785156,231.8770751953125,242.94773864746094,250.30526733398438,258.8016052246094,260.9726257324219,262.1927490234375,262.0354309082031,263.3364562988281,272.85302734375,290.4766540527344,287.0888977050781,290.86749267578125,307.58209228515625,335.1685485839844,356.28192138671875,375.38763427734375,398.12921142578125,426.7232971191406,493.1376953125,514.436767578125,581.2650146484375,617.143798828125,650.5628662109375,680.5484008789062,742.4970703125,814.0075073242188,859.3570556640625,927.6171264648438,1010.04248046875,1105.342041015625,1440.67626953125,2364.25732421875,192.47706604003906
1,3,3,1.5578317642211914,47.97267150878906,64.15790557861328,71.6751708984375,81.59394836425781,97.51799011230469,108.52605438232422,121.05023193359375,129.8186798095703,143.55381774902344,160.6263427734375,178.2707977294922,186.3523712158203,189.5079803466797,187.3146209716797,188.63035583496094,187.0980224609375,200.2842559814453,202.9982147216797,207.2801055908203,210.36770629882812,212.6063690185547,213.64788818359375,216.00148010253906,216.61558532714844,219.74371337890625,224.2591552734375,227.4639892578125,233.07797241210938,231.80899047851562,238.86973571777344,237.4602813720703,250.23670959472656,261.5020446777344,272.4186706542969,281.974365234375,288.0728759765625,284.9567565917969,288.6513366699219,292.54193115234375,302.8414001464844,324.40509033203125,313.7625427246094,318.23626708984375,341.21807861328125,372.1959533691406,397.3836975097656,408.5904235839844,441.8583068847656,476.2603454589844,506.58642578125,544.065673828125,636.2899169921875,665.9266357421875,701.5426025390625,739.9041137695312,806.4473876953125,874.8892822265625,942.6876220703125,1016.6194458007812,1131.085205078125,1281.849609375,1500.528564453125,2381.108154296875,192.0463104248047
1,4, =,1.6369329690933228,49.58399200439453,66.73146057128906,73.16712951660156,82.3387222290039,95.29258728027344,111.03314208984375,119.902099609375,128.35789489746094,144.9340362548828,158.3770751953125,173.1692657470703,182.82598876953125,186.4843292236328,182.7049102783203,185.6352081298828,184.61032104492188,196.13682556152344,203.7779998779297,208.99305725097656,214.2161102294922,224.17665100097656,231.95498657226562,231.71913146972656,227.75022888183594,234.9036407470703,235.1077880859375,237.28909301757812,240.51368713378906,245.60269165039062,247.90785217285156,244.25558471679688,251.12362670898438,266.90625,279.5633544921875,289.6650085449219,290.7654113769531,296.3448486328125,303.8704528808594,308.9794616699219,320.48419189453125,352.3717956542969,333.889892578125,336.6356506347656,346.9147644042969,392.79364013671875,414.829833984375,428.1366882324219,463.50701904296875,494.7276306152344,554.889892578125,582.8621215820312,627.9032592773438,674.6920776367188,700.47412109375,748.6019287109375,838.1959838867188,910.0940551757812,958.2577514648438,1026.46630859375,1110.9847412109375,1272.859619140625,1452.51123046875,2329.96044921875,186.51052856445312
2,0,8,1.6295499801635742,68.12193298339844,93.26304626464844,121.7360610961914,132.12960815429688,12775.1005859375,22533.8359375,25622.96484375,25699.50390625,25777.107421875,25815.169921875,26045.046875,26045.1875,26122.52734375,26199.4140625,26276.1328125,26358.341796875,26435.859375,26473.96484375,26474.169921875,26555.2890625,26632.63671875,26632.837890625,26713.931640625,26754.224609375,26754.27734375,26754.990234375,26754.837890625,26795.146484375,26834.96875,26836.078125,26836.96875,26876.841796875,26917.115234375,26995.548828125,26996.978515625,27169.90625,27170.728515625,27249.015625,27648.8828125,27814.40625,27892.798828125,28049.15625,28240.59765625,28237.341796875,28235.85546875,28234.833984375,28234.421875,28233.38671875,28232.421875,28229.10546875,28226.974609375,28226.818359375,28223.48828125,28220.7578125,28219.513671875,28217.87890625,28059.00390625,27898.404296875,27730.765625,27198.77734375,21364.2421875,19724.345703125,16442.4296875,126.2251968383789
2,1, -,1.7903796434402466,57.891448974609375,73.64266204833984,81.34888458251953,90.0896987915039,103.00079345703125,115.61970520019531,128.67478942871094,140.17153930664062,151.1685791015625,174.91050720214844,186.2112579345703,203.11721801757812,215.1683807373047,231.89724731445312,247.7133026123047,252.7547607421875,256.2457275390625,260.56854248046875,262.57720947265625,271.2662048339844,274.8362731933594,272.5466613769531,273.8475036621094,277.24652099609375,276.9067077636719,276.6968078613281,281.5238342285156,282.2904357910156,292.9849548339844,301.09527587890625,306.0467834472656,319.0834655761719,328.2749328613281,338.92510986328125,341.7627868652344,347.6943054199219,348.417236328125,347.67022705078125,353.1628112792969,360.3403015136719,368.09051513671875,358.1799621582031,361.84088134765625,374.1353759765625,404.99505615234375,417.19537353515625,429.4600830078125,464.6572570800781,499.2632141113281,542.9730224609375,575.38427734375,637.2113037109375,675.411376953125,712.4556274414062,768.9044189453125,840.6968994140625,907.5149536132812,951.3793334960938,1005.8500366210938,1082.1689453125,1214.9637451171875,1444.29052734375,2256.53173828125,190.9754638671875
2,2, ,1.3829126358032227,49.65786361694336,72.33351135253906,82.6654052734375,89.20201110839844,99.15550994873047,112.78559112548828,137.4871368408203,150.7418975830078,161.73336791992188,172.2704315185547,178.4956817626953,192.2559814453125,200.8576202392578,204.08056640625,199.4765625,195.7915496826172,202.5809783935547,206.50721740722656,212.8675537109375,212.33908081054688,216.65463256835938,219.03814697265625,220.82858276367188,222.0072021484375,223.23696899414062,227.74203491210938,231.79800415039062,238.80506896972656,245.62889099121094,247.968017578125,249.89019775390625,254.59735107421875,268.8988342285156,282.2499084472656,291.59490966796875,294.2575988769531,291.39971923828125,290.7434387207031,297.479248046875,308.32745361328125,329.50238037109375,323.3997802734375,322.07135009765625,330.35723876953125,359.0101623535156,376.87042236328125,387.19830322265625,410.84375,440.1992492675781,492.2723083496094,521.8018798828125,588.021240234375,626.99365234375,656.1588745117188,696.6178588867188,760.5343627929688,837.1004028320312,881.1189575195312,940.2647705078125,1027.9315185546875,1131.496826171875,1442.8277587890625,2389.673095703125,194.86508178710938
2,3,4,1.5843249559402466,49.54833221435547,64.44080352783203,71.99161529541016,82.3834457397461,99.87680053710938,109.4530258178711,114.54426574707031,126.0250244140625,140.35665893554688,158.4047088623047,175.856689453125,179.53851318359375,183.2882843017578,185.4010772705078,190.00148010253906,190.13978576660156,211.17938232421875,211.78912353515625,223.74830627441406,224.56475830078125,233.00726318359375,238.22726440429688,236.4944610595703,236.9463653564453,236.70428466796875,239.0747833251953,243.02780151367188,245.43557739257812,242.36302185058594,237.59649658203125,239.60983276367188,246.84915161132812,267.5660400390625,269.49835205078125,285.4261169433594,288.6004638671875,286.19903564453125,290.2641296386719,292.5788269042969,302.14697265625,322.53106689453125,314.1966247558594,318.7707214355469,337.4378967285156,369.3902587890625,393.4258117675781,412.5976867675781,444.83587646484375,489.3077087402344,526.2716064453125,569.7743530273438,655.5576171875,696.187255859375,742.1520385742188,788.6047973632812,858.1134643554688,918.8006591796875,1000.3096923828125,1068.189453125,1184.4793701171875,1323.6597900390625,1563.637939453125,2455.334716796875,185.22828674316406
2,4, =,1.6369329690933228,49.9132194519043,65.55973052978516,72.07084655761719,80.9020767211914,94.7628402709961,109.85474395751953,117.69852447509766,125.36402893066406,150.20140075683594,165.0030517578125,176.06446838378906,183.11444091796875,185.6328887939453,187.38235473632812,191.52999877929688,190.49005126953125,197.44821166992188,202.946044921875,209.23060607910156,216.5340118408203,228.79330444335938,233.97764587402344,234.89031982421875,235.5091094970703,242.7303009033203,242.530517578125,244.18966674804688,249.73019409179688,255.42942810058594,254.14195251464844,255.10610961914062,261.1254577636719,276.2804260253906,284.72296142578125,292.3311462402344,294.1775817871094,296.7223205566406,303.54608154296875,314.2500305175781,326.4920654296875,353.1907653808594,338.2399597167969,342.6846618652344,351.6657409667969,394.0403747558594,405.11920166015625,412.1102294921875,451.2895812988281,478.629638671875,542.4334716796875,573.3389282226562,617.12841796875,670.1514282226562,696.6953735351562,739.9185791015625,824.5619506835938,897.9842529296875,950.279541015625,1011.6943969726562,1087.139404296875,1245.6988525390625,1431.1478271484375,2255.23486328125,179.98805236816406
3,0,8,1.6295499801635742,68.12193298339844,93.26304626464844,121.7360610961914,132.12960815429688,12775.1005859375,22533.8359375,25622.96484375,25699.50390625,25777.107421875,25815.169921875,26045.046875,26045.1875,26122.52734375,26199.4140625,26276.1328125,26358.341796875,26435.859375,26473.96484375,26474.169921875,26555.2890625,26632.63671875,26632.837890625,26713.931640625,26754.224609375,26754.27734375,26754.990234375,26754.837890625,26795.146484375,26834.96875,26836.078125,26836.96875,26876.841796875,26917.115234375,26995.548828125,26996.978515625,27169.90625,27170.728515625,27249.015625,27648.8828125,27814.40625,27892.798828125,28049.15625,28240.59765625,28237.341796875,28235.85546875,28234.833984375,28234.421875,28233.38671875,28232.421875,28229.10546875,28226.974609375,28226.818359375,28223.48828125,28220.7578125,28219.513671875,28217.87890625,28059.00390625,27898.404296875,27730.765625,27198.77734375,21364.2421875,19724.345703125,16442.4296875,126.2251968383789
3,1, /,1.7907534837722778,68.6087875366211,83.28594970703125,89.94300079345703,100.63240814208984,111.8895263671875,118.7646484375,129.41505432128906,155.84765625,167.57083129882812,190.41798400878906,200.9090118408203,213.5726776123047,222.4609832763672,236.6901397705078,246.9295654296875,250.47113037109375,258.0025329589844,262.4906311035156,265.1863098144531,269.8888244628906,270.4913024902344,268.73724365234375,272.9908142089844,271.3274230957031,271.248046875,272.65386962890625,277.6737365722656,279.9842529296875,287.3742370605469,293.9107360839844,295.0092468261719,301.5877380371094,307.5324401855469,316.40252685546875,316.21795654296875,323.62158203125,321.8719482421875,321.308837890625,326.05767822265625,334.6194152832031,343.5282287597656,337.7879333496094,343.9457702636719,357.396484375,391.6119384765625,410.8860778808594,419.06475830078125,457.4723815917969,484.0417175292969,536.6630249023438,556.1536254882812,614.9111938476562,653.7669677734375,700.2559204101562,743.2371215820312,813.0546264648438,877.4493408203125,917.4271240234375,966.5307006835938,1044.2813720703125,1151.2525634765625,1375.210205078125,2131.375732421875,177.65931701660156
