prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028,delta_028_to_029,delta_029_to_030,delta_030_to_031,delta_031_to_032,delta_032_to_033,delta_033_to_034,delta_034_to_035,delta_035_to_036,delta_036_to_037,delta_037_to_038,delta_038_to_039,delta_039_to_040,delta_040_to_041,delta_041_to_042,delta_042_to_043,delta_043_to_044,delta_044_to_045,delta_045_to_046,delta_046_to_047,delta_047_to_048,delta_048_to_049,delta_049_to_050,delta_050_to_051,delta_051_to_052,delta_052_to_053,delta_053_to_054,delta_054_to_055,delta_055_to_056,delta_056_to_057,delta_057_to_058,delta_058_to_059,delta_059_to_060,delta_060_to_061,delta_061_to_062,delta_062_to_063,delta_063_to_064
0,0,3,67.34825897216797,44.35678482055664,41.048606872558594,63.36975860595703,12082.4140625,9761.4814453125,3128.496826171875,96.12581634521484,102.16732788085938,67.84288787841797,286.7064208984375,21.23517608642578,101.8538818359375,95.25003814697266,98.28944396972656,106.59524536132812,96.70455932617188,69.68619537353516,20.967281341552734,108.66084289550781,96.51419830322266,25.492820739746094,106.51869201660156,75.01807403564453,18.591642379760742,26.040401458740234,27.691518783569336,77.12812042236328,75.63687133789062,72.62899017333984,29.011682510375977,98.96177673339844,106.50907135009766,104.0159912109375,78.99271392822266,318.64117431640625,85.99394226074219,165.05894470214844,411.1232604980469,195.4100799560547,133.7037811279297,185.74754333496094,206.51138305664062,48.634281158447266,42.273773193359375,29.937652587890625,29.519968032836914,32.976924896240234,29.998210906982422,69.34295654296875,42.6744499206543,44.165836334228516,47.27543258666992,47.493228912353516,44.44413375854492,49.708885192871094,189.92808532714844,195.76858520507812,212.5435791015625,606.8414306640625,5839.4140625,1754.9610595703125,3456.949462890625,16419.431640625
0,1, +,60.8709602355957,26.794795989990234,22.88791275024414,33.92375183105469,41.481388092041016,29.32590675354004,39.33824157714844,34.0301628112793,45.48381042480469,40.489959716796875,40.55559539794922,62.78997802734375,47.949066162109375,67.33143615722656,65.2363510131836,46.9203987121582,54.28279495239258,44.27412796020508,41.983890533447266,45.452064514160156,41.35121536254883,37.046504974365234,34.216705322265625,33.771209716796875,29.909379959106445,32.37542724609375,42.75494384765625,42.18661117553711,45.59735107421875,48.982608795166016,43.07680130004883,47.73649978637695,72.04252624511719,57.301109313964844,48.84346389770508,51.3840217590332,45.73479080200195,45.366294860839844,40.191200256347656,45.95173645019531,37.49282455444336,46.6378288269043,56.17411804199219,60.244873046875,76.94760131835938,73.65264129638672,70.40701293945312,85.9929428100586,100.62511444091797,109.94967651367188,93.35974884033203,143.021240234375,127.6028060913086,125.2396469116211,146.27659606933594,162.94740295410156,159.94273376464844,131.89370727539062,143.50494384765625,200.2259979248047,230.68792724609375,370.3355407714844,991.7396240234375,2117.74560546875
0,2, ,50.28099822998047,32.46417999267578,19.091402053833008,22.24629020690918,33.43074035644531,29.204830169677734,36.89818572998047,35.2848014831543,32.141395568847656,31.2441463470459,29.22672462463379,46.59787368774414,45.120994567871094,42.90034866333008,46.595619201660156,45.313053131103516,52.9561882019043,38.911319732666016,39.61757278442383,38.047245025634766,43.53601837158203,43.98258972167969,37.23978042602539,35.540245056152344,31.075807571411133,34.3702392578125,40.09476852416992,56.32103729248047,47.7937126159668,46.31877899169922,41.73179626464844,47.40518569946289,68.01409149169922,56.566627502441406,53.821781158447266,52.05509567260742,50.01870346069336,48.32574462890625,39.669921875,51.411170959472656,46.0634765625,46.7407341003418,49.158355712890625,67.32132720947266,79.84034729003906,81.35071563720703,78.64849853515625,75.42438507080078,98.0924301147461,134.14187622070312,95.51886749267578,138.77166748046875,124.28700256347656,108.55726623535156,107.65796661376953,120.76510620117188,139.4322509765625,123.45962524414062,138.7039337158203,198.81309509277344,232.65589904785156,510.24822998046875,1221.8980712890625,2321.779296875
0,3,4,50.691749572753906,23.096410751342773,17.64160919189453,23.694168090820312,34.84336471557617,25.931968688964844,37.65818786621094,36.08586120605469,34.08106231689453,31.40363121032715,34.476959228515625,47.66643142700195,42.55472946166992,49.57708740234375,70.55509185791016,48.35939407348633,73.1354751586914,54.795196533203125,56.44661331176758,55.5333366394043,60.06598663330078,56.55617141723633,45.27553176879883,48.715232849121094,48.34062957763672,48.82832717895508,50.7765998840332,60.39841842651367,52.22466278076172,52.80007553100586,57.947845458984375,59.678504943847656,76.47329711914062,64.00019836425781,59.23983383178711,57.20437240600586,55.67017364501953,56.87389373779297,46.38468933105469,53.99399948120117,56.897918701171875,59.712928771972656,53.859840393066406,73.2785415649414,82.7111587524414,79.29634094238281,84.10638427734375,89.66063690185547,110.78959655761719,101.01065826416016,121.06582641601562,187.72779846191406,136.36407470703125,153.85935974121094,143.83053588867188,164.14007568359375,171.7039794921875,185.82786560058594,176.09136962890625,226.65255737304688,301.8962707519531,387.7757873535156,1186.1611328125,2378.318115234375
0,4, =,49.571434020996094,24.023332595825195,15.446948051452637,22.687410354614258,32.616004943847656,38.15982437133789,29.672164916992188,24.930923461914062,49.19123840332031,32.25300216674805,37.9993896484375,43.78055191040039,41.95029830932617,45.470760345458984,54.8819694519043,51.47292709350586,62.977718353271484,54.871795654296875,49.73295974731445,52.854827880859375,61.25681686401367,54.3437385559082,51.859046936035156,51.34450912475586,49.88113021850586,47.1708984375,49.90800476074219,62.35059356689453,58.616844177246094,56.29918670654297,55.729888916015625,60.07884216308594,79.64009857177734,63.69119644165039,71.1328125,61.17037582397461,67.41650390625,57.25509262084961,55.240623474121094,62.5670051574707,60.38172912597656,58.779319763183594,59.934871673583984,70.46027374267578,99.70889282226562,84.43878936767578,93.16728973388672,99.2679672241211,110.96878051757812,142.78366088867188,108.66490173339844,124.26078033447266,155.36817932128906,132.28598022460938,141.67727661132812,178.86123657226562,158.11509704589844,175.7881317138672,200.05812072753906,192.79632568359375,300.06085205078125,355.9635009765625,1047.635986328125,2138.85986328125
1,0,5,70.00615692138672,39.87158203125,35.69198226928711,57.28044509887695,13621.087890625,9803.76953125,3087.14599609375,95.75660705566406,102.31680297851562,67.90950775146484,286.64794921875,21.25437355041504,102.1895523071289,70.58734130859375,74.92088317871094,85.71768188476562,34.161598205566406,28.145851135253906,21.21747589111328,61.6093864440918,35.142967224121094,26.10984992980957,56.839561462402344,40.541786193847656,19.04039764404297,27.365938186645508,28.72051429748535,44.084388732910156,43.747520446777344,35.74906539916992,29.796615600585938,44.144405364990234,58.81621551513672,139.79347229003906,51.43130111694336,293.46990966796875,61.07822799682617,200.11131286621094,412.219482421875,197.02919006347656,185.59738159179688,186.22845458984375,206.8090362548828,54.48626708984375,44.90966796875,33.23694610595703,31.4576416015625,35.21281814575195,31.672863006591797,74.12704467773438,45.22343063354492,46.89143371582031,49.730690002441406,50.0242805480957,47.17872619628906,52.28178405761719,190.9832763671875,198.17555236816406,309.8804016113281,624.7097778320312,6317.63134765625,1881.7667236328125,3652.403076171875,16344.8759765625
1,1, +,62.96281051635742,26.837718963623047,21.198915481567383,31.871522903442383,39.39498519897461,25.6745548248291,34.52540969848633,34.9708137512207,44.1871452331543,39.12335968017578,38.52238082885742,49.08931350708008,49.72157669067383,51.47345733642578,53.70150375366211,42.048439025878906,50.00825500488281,38.12166976928711,41.48614501953125,44.07304382324219,39.70840835571289,38.23088455200195,35.600826263427734,34.170799255371094,30.089248657226562,32.5161247253418,48.654510498046875,47.06181716918945,43.4508171081543,44.279144287109375,42.67601013183594,47.51422882080078,68.4127197265625,54.166969299316406,48.42354965209961,55.06121063232422,47.60680389404297,44.96461868286133,41.44901657104492,49.38379669189453,37.694740295410156,46.27217483520508,60.188148498535156,64.80624389648438,74.88652801513672,75.80718994140625,71.46266174316406,93.50130462646484,102.194091796875,111.06858825683594,92.37467193603516,143.29071044921875,127.5721206665039,124.0156478881836,149.01148986816406,154.58956909179688,157.73519897460938,133.06459045410156,147.61599731445312,183.4380645751953,244.1866455078125,372.8735046386719,985.4952392578125,2116.4248046875
1,2, ,51.06489181518555,31.834579467773438,18.920568466186523,23.01920509338379,32.94664764404297,27.887126922607422,37.122737884521484,36.29118728637695,32.80945587158203,32.35149383544922,27.442420959472656,42.74428176879883,45.4911994934082,42.40743637084961,46.75880432128906,43.76353073120117,51.640716552734375,39.60660171508789,40.400978088378906,37.23664855957031,40.808773040771484,45.77840805053711,39.470985412597656,37.11502456665039,33.32144546508789,35.48773193359375,41.88256072998047,56.513999938964844,48.750186920166016,48.0665168762207,42.354312896728516,46.966800689697266,68.43353271484375,57.74849319458008,55.19395065307617,53.272830963134766,52.14702224731445,49.8125114440918,41.06350326538086,52.153873443603516,48.57403564453125,47.413578033447266,49.84599685668945,66.67811584472656,80.08458709716797,84.72123718261719,78.20872497558594,78.2223129272461,102.86213684082031,134.66928100585938,101.43206787109375,139.3665771484375,121.40541076660156,119.0909652709961,120.55815887451172,119.31777954101562,139.61428833007812,131.95684814453125,140.8955078125,187.67079162597656,253.62310791015625,492.5459899902344,1237.062744140625,2335.9951171875
1,3,2,49.51957702636719,24.04560661315918,16.59937858581543,22.42723846435547,33.03730392456055,25.99782943725586,39.13632583618164,28.811254501342773,37.9114990234375,32.09036636352539,34.51616287231445,46.616981506347656,39.699710845947266,40.444114685058594,46.08229446411133,45.71671676635742,71.41032409667969,50.93677520751953,47.01732635498047,48.26689910888672,44.98227310180664,50.13930130004883,45.751956939697266,43.83188247680664,40.121803283691406,39.583152770996094,44.37832260131836,52.43852996826172,47.541900634765625,47.73637390136719,45.61119079589844,52.57706832885742,72.08666229248047,55.8517951965332,53.91108322143555,56.23815155029297,50.845489501953125,54.53953170776367,41.796165466308594,47.29507064819336,52.08492660522461,52.2092399597168,46.38227081298828,70.40119934082031,83.6826400756836,77.18633270263672,76.1246566772461,95.73772430419922,106.50672912597656,101.43437194824219,115.25604248046875,168.9140625,129.16770935058594,152.9447479248047,144.2760467529297,154.0938720703125,151.91543579101562,195.60472106933594,164.80398559570312,237.37660217285156,292.5428466796875,413.2853088378906,1183.8770751953125,2347.587158203125
1,4, =,49.57463455200195,23.561689376831055,14.823638916015625,22.367206573486328,30.768699645996094,37.24111557006836,28.07000732421875,27.552139282226562,53.83897018432617,32.849369049072266,39.48561477661133,48.45077133178711,45.55883026123047,44.52103042602539,55.40762710571289,55.73067092895508,65.47018432617188,59.143680572509766,55.358665466308594,55.71660232543945,57.951515197753906,57.80696105957031,56.30826950073242,52.79139709472656,52.77625274658203,49.29279327392578,51.71931076049805,59.76988983154297,59.33997344970703,58.55474853515625,54.196937561035156,58.33168411254883,85.44239807128906,68.65518951416016,72.40861511230469,62.93552780151367,68.48438262939453,60.961753845214844,58.83858108520508,58.14435958862305,74.07333374023438,59.30084991455078,54.48011779785156,69.9706039428711,97.7728271484375,87.69608306884766,86.09925079345703,105.14147186279297,106.87010955810547,137.5514678955078,108.64624786376953,123.25260162353516,141.62496948242188,122.31906127929688,136.55978393554688,178.01596069335938,156.71670532226562,165.37359619140625,174.2127227783203,182.98741149902344,276.6341552734375,362.60498046875,1067.496826171875,2189.10693359375
2,0,1,62.57974624633789,47.86492919921875,37.43861389160156,40.71221160888672,12960.517578125,9632.3896484375,3087.840087890625,95.78112030029297,102.36851501464844,67.82845306396484,286.6217346191406,21.116607666015625,101.91800689697266,95.2230453491211,98.2521743774414,106.78266143798828,96.6066665649414,69.64955139160156,20.84408950805664,108.70339965820312,96.41690063476562,25.449277877807617,106.5105972290039,75.0433578491211,18.59514617919922,26.11867904663086,27.654905319213867,77.05625915527344,39.79203414916992,34.39595031738281,29.074167251586914,75.56748962402344,56.27893829345703,138.17308044433594,45.62415313720703,287.0855712890625,58.0213623046875,152.16256713867188,410.6976013183594,196.20074462890625,133.92579650878906,185.8238067626953,206.4473419189453,51.40411376953125,42.82123947143555,31.43442726135254,30.131486892700195,33.767356872558594,30.578027725219727,71.49251556396484,44.13017654418945,45.36865997314453,48.95012664794922,48.73897171020508,45.563812255859375,50.71541976928711,190.47669982910156,197.09983825683594,214.01043701171875,624.6934814453125,6055.2421875,1817.80029296875,3481.81689453125,16359.2890625
2,1,4,55.565677642822266,20.935983657836914,26.870716094970703,24.20823860168457,33.82451248168945,23.693567276000977,22.90753173828125,49.1046257019043,46.486778259277344,47.63998794555664,41.19823455810547,34.42167663574219,41.89682388305664,46.06806564331055,43.71054458618164,39.894344329833984,44.098487854003906,36.226585388183594,35.523441314697266,43.3760986328125,34.25122833251953,32.575984954833984,26.58571434020996,27.288631439208984,24.271554946899414,28.152421951293945,31.510244369506836,32.94625473022461,34.0349006652832,40.02428436279297,45.63610076904297,41.01617431640625,56.63103103637695,46.65763854980469,39.64928436279297,54.320369720458984,39.06768798828125,38.74894332885742,37.971336364746094,35.697723388671875,30.73493194580078,39.11628341674805,39.88553237915039,53.02833557128906,56.49396514892578,76.82538604736328,70.16650390625,68.177490234375,80.56965637207031,101.34479522705078,97.18219757080078,128.85311889648438,143.013427734375,143.5261993408203,142.22071838378906,152.40774536132812,154.157958984375,133.69947814941406,163.2320098876953,172.24037170410156,272.4495849609375,451.9412841796875,1243.2523193359375,2294.7705078125
2,2, /,64.68940734863281,24.060834884643555,19.694595336914062,28.63552474975586,34.46964645385742,24.099699020385742,44.81304931640625,85.62578582763672,52.594947814941406,42.176856994628906,43.73105239868164,52.33698654174805,53.720157623291016,56.721439361572266,57.891258239746094,54.626319885253906,63.50736618041992,48.700199127197266,48.978248596191406,47.70751190185547,48.5734977722168,45.790138244628906,44.867271423339844,41.71971893310547,38.87916946411133,40.01903533935547,41.069091796875,46.302181243896484,50.25584411621094,49.159297943115234,51.4718132019043,53.52680587768555,76.37976837158203,63.939510345458984,57.7849006652832,53.591148376464844,53.77062225341797,53.14762496948242,47.31671142578125,50.84444808959961,52.57790756225586,50.8796501159668,52.51662063598633,67.62100219726562,88.7692642211914,97.9685287475586,81.48863983154297,109.26390838623047,101.4306640625,146.62876892089844,140.81932067871094,183.07730102539062,167.17843627929688,171.7736053466797,173.95233154296875,206.2932891845703,184.572265625,179.532470703125,189.2789764404297,242.21286010742188,289.2666015625,450.012939453125,1041.646240234375,2066.723876953125
