prompt_idx,token_pos,token_text,cos_000_to_001,cos_001_to_002,cos_002_to_003,cos_003_to_004,cos_004_to_005,cos_005_to_006,cos_006_to_007,cos_007_to_008,cos_008_to_009,cos_009_to_010,cos_010_to_011,cos_011_to_012,cos_012_to_013,cos_013_to_014,cos_014_to_015,cos_015_to_016,cos_016_to_017,cos_017_to_018,cos_018_to_019,cos_019_to_020,cos_020_to_021,cos_021_to_022,cos_022_to_023,cos_023_to_024,cos_024_to_025,cos_025_to_026,cos_026_to_027,cos_027_to_028
0,0,The,-0.041410718113183975,0.4700720012187958,0.9882819652557373,0.9999686479568481,0.9999610781669617,0.9999592304229736,0.9999794363975525,0.9999752044677734,0.9999794363975525,0.9999892711639404,0.9999896883964539,0.9999876618385315,0.9999915361404419,0.9999876618385315,0.9999936819076538,0.9999958276748657,0.9999915957450867,0.9999906420707703,0.9999930262565613,0.9999939203262329,0.9999828934669495,0.9999755024909973,0.9999790191650391,0.9999570846557617,0.9998364448547363,0.9985277652740479,0.9314150214195251,0.1511216163635254
0,1, capital,0.07959288358688354,0.88282310962677,0.7711730003356934,0.9502718448638916,0.9050309062004089,0.9347977042198181,0.8943221569061279,0.9068328738212585,0.9278123378753662,0.9313214421272278,0.946027934551239,0.9395278692245483,0.9522311091423035,0.9642528295516968,0.971618115901947,0.9748279452323914,0.9794813990592957,0.9722747802734375,0.9657394886016846,0.9465857148170471,0.9725592732429504,0.9253774881362915,0.9600719809532166,0.9025115370750427,0.9591764807701111,0.9730002284049988,0.9522500038146973,0.49894025921821594
0,2, of,-0.04722980409860611,0.8253599405288696,0.7347603440284729,0.8889371156692505,0.8449105620384216,0.8949150443077087,0.8478274941444397,0.8560811877250671,0.8550308346748352,0.8611595630645752,0.8982619047164917,0.9099400639533997,0.9384903907775879,0.9245504140853882,0.9528526663780212,0.9644218683242798,0.967240035533905,0.9578659534454346,0.9347939491271973,0.917648196220398,0.9433647394180298,0.9127534031867981,0.9338496327400208,0.9554213881492615,0.9646335244178772,0.9593114852905273,0.9577441215515137,0.44671544432640076
0,3, France,0.03897146135568619,0.9077176451683044,0.8631275296211243,0.8317580223083496,0.8367422819137573,0.9247851967811584,0.920638382434845,0.9011832475662231,0.9189844131469727,0.9212294816970825,0.9393024444580078,0.8762215971946716,0.9177947044372559,0.9315938949584961,0.9457213878631592,0.9555234909057617,0.9674533605575562,0.9559085369110107,0.9492763876914978,0.9316345453262329,0.9627344608306885,0.9399853348731995,0.9556415677070618,0.9659165740013123,0.9590226411819458,0.9792112708091736,0.9760798215866089,0.4365456998348236
0,4, is,-0.04074760526418686,0.8860576152801514,0.880448579788208,0.8576011061668396,0.8468690514564514,0.8918919563293457,0.8654693365097046,0.8745211362838745,0.8052583336830139,0.892620861530304,0.9018353819847107,0.9122846722602844,0.9368672966957092,0.8970308899879456,0.9335769414901733,0.9409306049346924,0.948249101638794,0.9466409683227539,0.9441670179367065,0.9392019510269165,0.9206251502037048,0.8900942802429199,0.9103609323501587,0.8915335536003113,0.9458282589912415,0.9330182075500488,0.921784520149231,0.6356561183929443
1,0,Die,0.033009838312864304,0.193118616938591,0.9882800579071045,0.9999739527702332,0.9999665021896362,0.999969482421875,0.9999825358390808,0.9999786019325256,0.9999823570251465,0.9999908804893494,0.999991238117218,0.9999892711639404,0.9999927282333374,0.9999894499778748,0.9999945759773254,0.9999962449073792,0.9999926686286926,0.999992311000824,0.9999939203262329,0.9999948740005493,0.9999866485595703,0.9999792575836182,0.9999810457229614,0.9999646544456482,0.9998579025268555,0.9987630248069763,0.9459531307220459,0.2039238065481186
1,1, Haupt,0.04326920211315155,0.8217056393623352,0.823462724685669,0.8861366510391235,0.7998595833778381,0.9335265755653381,0.9260843992233276,0.9163268208503723,0.9379697442054749,0.9436321258544922,0.952147901058197,0.9516239762306213,0.9617165327072144,0.9672892689704895,0.966666042804718,0.9752958416938782,0.9711765050888062,0.9729533791542053,0.9715433120727539,0.9286041855812073,0.9494650363922119,0.9188123941421509,0.9299110770225525,0.8336361646652222,0.9273442625999451,0.915920615196228,0.9239432215690613,0.5089476108551025
1,2,stadt,0.03080405667424202,0.8743253946304321,0.8050392866134644,0.7919743061065674,0.8518507480621338,0.9177300930023193,0.9044883847236633,0.9095154404640198,0.9184477925300598,0.9249254465103149,0.9430418610572815,0.9527590274810791,0.9585124850273132,0.9496794939041138,0.9494137167930603,0.960641086101532,0.9734892249107361,0.9634813070297241,0.9549647569656372,0.9274855256080627,0.9605697393417358,0.9322481155395508,0.9516236186027527,0.9466457962989807,0.9409365057945251,0.9528549313545227,0.9411337375640869,0.5095270872116089
1,3, von,0.03106560930609703,0.8607483506202698,0.8107714056968689,0.8727852702140808,0.8655837178230286,0.924870491027832,0.9013499617576599,0.90821772813797,0.9047776460647583,0.9174073934555054,0.927346408367157,0.9419146776199341,0.9561835527420044,0.9396153092384338,0.9462277889251709,0.9470662474632263,0.9591882228851318,0.9582082033157349,0.941571831703186,0.9168617725372314,0.9334290027618408,0.8501618504524231,0.936480700969696,0.9589619040489197,0.9637176394462585,0.9528596997261047,0.9466204643249512,0.427090585231781
1,4, Frank,-0.004300108645111322,0.866917073726654,0.7140591740608215,0.8984506726264954,0.8855369091033936,0.911505401134491,0.9270026087760925,0.9301202893257141,0.9553062915802002,0.9476364850997925,0.9602273106575012,0.9394240379333496,0.9660096764564514,0.9512407183647156,0.9720637798309326,0.9529293775558472,0.9693354368209839,0.9702267646789551,0.9611270427703857,0.9428491592407227,0.9678661227226257,0.9112657308578491,0.8939380049705505,0.9298360347747803,0.9479613900184631,0.9438526034355164,0.9470753073692322,0.5480015277862549
