prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028
2,1, small,1.2311524152755737,38.17560958862305,44.78303909301758,55.64847183227539,56.371341705322266,66.32139587402344,64.83272552490234,68.1593017578125,79.10855102539062,82.05377197265625,88.67752838134766,90.64212799072266,94.66328430175781,99.01870727539062,103.3118896484375,108.15646362304688,110.57968139648438,113.93965911865234,118.9995346069336,126.9998779296875,149.8565216064453,157.7544708251953,187.9336395263672,230.07638549804688,260.5166931152344,314.960693359375,361.96246337890625,457.7754211425781,96.03308868408203
2,2, step,1.3272632360458374,39.25215148925781,45.781761169433594,50.934852600097656,52.16971969604492,78.14147186279297,81.15135192871094,89.77031707763672,97.44210052490234,101.26786804199219,108.19599151611328,110.67677307128906,111.61937713623047,111.86077880859375,120.96539306640625,122.91973114013672,128.33946228027344,129.88369750976562,140.1115264892578,150.39027404785156,174.90200805664062,192.22796630859375,215.37017822265625,255.08859252929688,302.8895263671875,371.32342529296875,410.7687072753906,489.3505859375,96.05164337158203
2,3, for,1.0942977666854858,28.45625877380371,34.97493362426758,40.277984619140625,44.440921783447266,66.39026641845703,71.22906494140625,80.6152572631836,88.18321990966797,94.3536376953125,100.91239166259766,105.83470916748047,106.74116516113281,108.48046112060547,120.10415649414062,119.93097686767578,121.65767669677734,122.33509826660156,122.48532104492188,128.7711944580078,140.6876983642578,155.51547241210938,191.3208465576172,223.33804321289062,265.2056579589844,334.95050048828125,379.8521728515625,465.2901916503906,93.9473648071289
2,4, man,1.272257685661316,32.899436950683594,40.455692291259766,48.0105094909668,53.837303161621094,67.41590881347656,67.08982849121094,66.67730712890625,75.18632507324219,76.4619140625,82.03701782226562,81.68086242675781,89.19351196289062,87.1396713256836,95.91303253173828,95.88734436035156,99.43363189697266,101.99996185302734,108.42617797851562,122.73835754394531,144.21490478515625,154.94021606445312,200.42710876464844,241.097412109375,297.8117980957031,367.08123779296875,409.521484375,478.8558349609375,94.17101287841797
2,5,",",1.3758020401000977,27.9097843170166,35.07721710205078,41.18440246582031,46.73975372314453,51.25307846069336,52.604854583740234,55.077632904052734,64.48046875,67.96906280517578,75.00849914550781,82.85047912597656,84.04664611816406,88.01117706298828,96.50181579589844,97.0832748413086,99.7874755859375,104.1051254272461,112.37865447998047,133.98312377929688,139.1084747314453,179.94097900390625,213.48297119140625,239.20986938476562,288.3583984375,334.24365234375,390.1009826660156,489.3636779785156,96.18646240234375
2,6, one,1.1858839988708496,30.61990737915039,36.83903503417969,46.93046569824219,57.42638397216797,60.608543395996094,61.685420989990234,62.802391052246094,67.6092529296875,76.22088623046875,82.45928955078125,91.0106201171875,87.05181121826172,91.84549713134766,97.85362243652344,101.47765350341797,105.83381652832031,111.11656951904297,125.42296600341797,134.44818115234375,150.65863037109375,184.5474395751953,216.45814514160156,255.7313995361328,299.5636901855469,342.9173278808594,399.15631103515625,498.1003112792969,93.49609375
2,7, giant,1.2634084224700928,35.37380599975586,41.224544525146484,67.71061706542969,70.1386947631836,77.79335021972656,77.70466613769531,78.08175659179688,80.24726104736328,80.41211700439453,87.49739074707031,96.45831298828125,98.423583984375,100.75736999511719,105.63115692138672,105.97782135009766,109.47249603271484,109.77949523925781,114.15100860595703,122.7481918334961,142.30209350585938,159.01365661621094,184.51046752929688,233.7673797607422,273.42047119140625,341.3621520996094,375.34027099609375,462.1375732421875,95.38241577148438
2,8, leap,1.325772762298584,32.37779998779297,38.40473556518555,53.43343734741211,57.05392837524414,72.86817932128906,78.63954162597656,82.29554748535156,84.25860595703125,80.56753540039062,88.75409698486328,92.61963653564453,97.27742004394531,99.79790496826172,104.8777847290039,104.4776382446289,107.41310119628906,106.35330963134766,112.69488525390625,125.05233001708984,143.05760192871094,160.6341552734375,179.44900512695312,207.06336975097656,246.21702575683594,313.850830078125,354.7461242675781,425.0251770019531,96.95928955078125
2,9, for,1.0942977666854858,31.90597915649414,37.32948684692383,44.21200180053711,49.43165588378906,58.183319091796875,57.99567413330078,62.55143356323242,72.09807586669922,80.09811401367188,86.89973449707031,88.9979248046875,90.2601547241211,93.47947692871094,99.9916000366211,101.82849884033203,108.20976257324219,108.13851165771484,114.10233306884766,118.73994445800781,130.85580444335938,155.8509063720703,198.34561157226562,240.83663940429688,287.0501403808594,333.0404968261719,387.0693664550781,454.539306640625,93.462646484375
3,0,In,1.0003581047058105,58.11977767944336,2273.988037109375,4827.47900390625,4838.5888671875,4940.306640625,4956.70556640625,4981.7919921875,5006.93408203125,5032.98291015625,5048.9990234375,5065.21044921875,5072.89599609375,5080.80322265625,5096.36669921875,5104.48779296875,5104.61669921875,5096.673828125,5088.6982421875,5088.736328125,5088.58251953125,5072.37646484375,5068.3955078125,5043.494140625,5000.23681640625,4893.7275390625,4534.57177734375,2354.743408203125,114.46284484863281
