layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.026903,0.688514,0.758245,0.768619,1.260424
1,23.089342,12.582005,23.690651,16.160500,29.796284
2,28.186222,12.068182,30.694311,19.157558,33.585056
3,39.297867,14.492806,36.163284,26.561796,45.356842
4,45.307671,16.642170,39.714787,30.456553,52.810993
5,53.637867,17.918039,45.887165,35.927174,59.356651
6,50.834549,16.839809,44.065926,34.112442,54.130909
7,52.709515,16.935495,50.252872,35.393589,56.215057
8,55.756992,16.265762,53.991676,37.433220,57.010830
9,59.174850,17.241806,55.813652,39.707893,60.045235
10,65.582001,17.357416,65.355080,43.864544,64.294525
11,71.510399,17.846375,70.350510,47.714943,67.890556
12,70.894806,17.608538,71.904846,47.379810,65.860619
13,73.486580,18.771484,78.959312,49.133347,69.576439
14,78.886383,18.199091,87.285172,52.716175,73.040306
15,80.423195,18.261938,94.426514,53.789852,73.582855
16,82.317940,18.118828,99.417458,55.088699,75.976982
17,85.048622,18.931505,101.764954,56.986954,77.794403
18,90.374420,20.919619,111.845421,60.621723,81.386078
19,96.740234,22.023792,129.696564,64.953468,85.747879
20,110.224030,25.499594,146.992279,73.935165,99.306259
21,127.190590,25.684105,150.842941,85.166641,108.206154
22,142.501907,30.675365,195.784241,95.394722,120.318550
23,183.577896,37.350281,223.395508,122.920319,157.517120
24,206.010788,45.990475,272.984161,138.312820,183.978210
25,234.764221,54.559711,365.709076,157.759903,217.772247
26,255.524826,59.522236,367.489166,171.622482,241.901550
27,289.630310,69.149567,482.414337,194.518707,283.516876
28,55.757965,15.076246,87.797722,37.990383,47.656979
