layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.038289,0.669469,0.744470,0.790567,1.261846
1,26.615566,11.451462,24.724564,18.447193,30.270454
2,32.258419,11.565613,30.456297,22.112293,33.674732
3,43.421024,14.410183,33.931156,29.837683,44.042568
4,49.799454,16.991846,35.553375,34.147865,51.413837
5,60.408985,17.141018,40.831188,40.902321,62.625713
6,58.590759,15.531450,40.241482,39.624390,58.001308
7,61.085770,15.073098,46.207367,41.310051,59.604237
8,64.777809,14.495723,49.203068,43.798592,60.953049
9,71.393608,14.571521,53.173492,48.234928,62.005241
10,79.535522,14.555169,61.364262,53.524590,67.039566
11,86.270180,15.006931,71.100403,58.174080,69.074532
12,87.717819,16.398430,71.184875,59.209694,70.470360
13,88.566963,17.786797,74.840958,59.830524,74.355385
14,93.804131,19.249666,81.654785,63.407722,78.258095
15,94.943649,20.303629,86.705025,64.215721,80.820656
16,99.988045,22.410175,95.658630,67.782547,88.094955
17,103.859657,23.983444,97.952766,70.414886,93.686768
18,109.895531,26.931494,105.435768,74.584846,101.783340
19,119.325691,29.383333,123.831978,80.982231,112.460472
20,132.914307,31.795227,136.713089,89.988594,121.535751
21,153.505005,30.995914,142.830795,103.610573,134.302826
22,181.537613,37.723827,187.920120,122.848022,157.787277
23,231.275330,45.014870,212.291458,156.382172,204.006210
24,258.777252,54.045586,249.009506,175.112335,234.641083
25,300.356720,66.526329,342.816833,203.544876,280.808807
26,342.548950,84.952103,363.986420,232.294952,349.479889
27,383.542328,94.051056,486.112976,260.236267,385.897552
28,70.956100,22.312160,96.144531,48.063110,82.599075
