layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.543902,1.027657,1.136701,1.157362,1.810465
1,38.441952,21.538490,43.535976,26.287466,57.262234
2,40.894817,22.258125,57.146721,28.094435,58.885807
3,45.729794,24.006277,62.181808,31.345028,64.366188
4,54.622391,25.897221,69.085831,37.234684,70.498840
5,71.649712,30.226900,79.090111,48.191792,86.688004
6,83.049492,30.947233,89.905983,55.935318,92.094643
7,90.790558,33.557865,96.568428,61.063339,102.209297
8,96.494247,34.980774,102.645676,65.066719,106.120850
9,107.705635,39.424454,117.286507,72.944443,112.645721
10,113.018105,41.981144,132.728104,76.494049,117.776825
11,122.088799,41.295143,145.477997,82.179817,124.128296
12,136.399841,37.909557,152.141724,91.311348,131.927338
13,145.485031,37.537777,149.313797,97.491623,136.720169
14,149.854645,38.571480,147.788681,100.344139,138.984818
15,158.804550,37.882282,146.685501,106.255608,143.518066
16,165.108109,39.581203,146.114334,110.618538,148.738968
17,178.400253,38.151550,148.461105,119.608124,156.258606
18,187.501389,39.547337,152.041916,125.703873,165.848801
19,193.313263,40.426445,154.297791,129.620148,170.514908
20,201.380600,41.959232,158.438217,134.989090,176.604889
21,208.721802,42.104622,163.520218,140.056122,179.158813
22,213.585266,42.503605,168.880203,143.358963,182.860153
23,216.145264,42.208443,169.784256,145.094055,184.258148
24,214.935623,41.865871,169.114319,144.237686,183.591354
25,220.080948,42.018848,172.674194,147.738342,185.685654
26,222.245667,42.449257,173.345978,149.224274,186.814789
27,224.433380,43.195717,175.425354,150.662659,190.548950
28,229.977219,45.020973,177.708374,154.527817,194.753647
29,230.363632,44.644375,182.452347,154.790054,193.788177
30,232.444260,45.446110,181.456146,156.234070,194.659180
31,233.214188,44.991196,181.487320,156.665710,195.150665
32,235.894455,45.313229,186.626831,158.509918,197.697189
33,238.589462,43.773483,193.944626,160.481613,198.083160
34,240.541473,44.045410,201.868210,161.891174,198.168503
35,241.794617,43.759159,210.931976,162.749084,199.840744
36,243.770889,44.532131,213.684204,164.074219,201.244659
37,244.875565,46.975861,220.352158,165.023331,202.839218
38,246.722107,48.746284,227.619583,166.325836,205.190796
39,246.034363,48.801720,238.142502,165.764465,204.785828
40,245.984207,49.981010,250.840454,165.757004,205.296387
41,251.069794,51.159306,275.726746,169.292816,207.225220
42,251.111221,50.674931,263.083710,169.243301,207.395950
43,254.167892,51.791676,267.567657,171.321686,209.695053
44,261.879272,54.918003,279.485840,176.705505,217.731003
45,272.437866,58.818966,321.522095,184.107071,226.093216
46,285.206909,62.483665,336.414520,192.876389,232.801086
47,298.381897,65.151070,346.952759,201.671677,241.937149
48,322.413696,71.224876,377.056122,217.979309,263.408142
49,339.584167,73.205070,408.099304,229.468323,272.435791
50,380.268707,78.132454,458.993164,256.309692,302.996002
51,397.229462,80.511894,476.700714,267.558838,317.112488
52,420.248352,86.400719,515.014282,283.012543,337.774017
53,477.936646,93.826973,546.475403,321.186401,379.363525
54,507.155762,99.825905,572.561218,340.551880,403.885071
55,534.920898,104.732895,612.019409,359.170715,421.301849
56,574.547852,117.914841,683.803406,386.211365,460.574280
57,610.847107,128.419357,745.473022,410.705719,498.703613
58,643.198608,135.693771,796.155029,432.606262,520.719055
59,683.099365,148.969666,868.012878,459.536560,566.945557
60,724.121826,161.897537,948.226990,487.310211,609.666809
61,787.034912,181.818420,1100.976685,530.052979,671.208191
62,863.239014,210.663940,1270.197144,582.459717,742.433472
63,1057.486572,294.035553,2076.334229,715.910828,946.292419
64,115.956841,42.168945,165.957291,79.273933,119.569809
