prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028
0,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
0,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
0,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
0,3, Germany,1.0258631706237793,40.06679153442383,46.07106399536133,50.47730255126953,58.35300827026367,69.17236328125,63.75511169433594,61.93801498413086,65.72261810302734,69.68321990966797,75.97256469726562,79.55459594726562,86.98404693603516,88.93402099609375,95.4007339477539,96.29434204101562,100.38510131835938,103.83024597167969,112.26348114013672,121.58419036865234,147.47935485839844,157.42984008789062,183.70809936523438,205.75123596191406,235.94366455078125,299.7897033691406,344.7114562988281,387.9610900878906,99.50994873046875
0,4, is,1.0590819120407104,30.506120681762695,36.31880569458008,40.56959915161133,46.3555908203125,53.720458984375,50.987003326416016,55.87696838378906,57.71432876586914,69.30260467529297,78.00119018554688,82.78424072265625,84.83816528320312,84.60668182373047,97.1524887084961,97.5346908569336,102.18585968017578,105.86190032958984,112.89269256591797,126.26642608642578,134.5895233154297,144.4898223876953,188.50389099121094,207.65406799316406,237.91445922851562,293.17352294921875,315.2279052734375,393.5419616699219,98.60503387451172
1,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
1,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
1,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
1,3, France,1.0450770854949951,39.49524688720703,44.886444091796875,51.041603088378906,66.63751983642578,78.23302459716797,72.18057250976562,68.70470428466797,69.15068054199219,67.44197845458984,73.49415588378906,77.49153137207031,89.6526107788086,92.53305053710938,95.66011047363281,95.47113037109375,102.22269439697266,102.1705093383789,112.45702362060547,122.55061340332031,153.08328247070312,165.1805419921875,195.96890258789062,223.03079223632812,260.47674560546875,338.32904052734375,374.31878662109375,424.1206970214844,108.63822174072266
1,4, is,1.0590819120407104,30.213294982910156,35.83855056762695,40.56086349487305,46.78361129760742,54.819068908691406,50.684104919433594,56.53462600708008,56.78004455566406,67.71084594726562,74.21725463867188,82.23652648925781,87.35021209716797,88.4343032836914,99.48711395263672,97.45382690429688,102.93047332763672,108.80630493164062,117.80842590332031,131.80564880371094,141.7405548095703,157.90045166015625,202.379638671875,237.3125762939453,304.3638916015625,355.46441650390625,401.5487060546875,505.21490478515625,98.69335174560547
2,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
2,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
2,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
2,3, Japan,1.087797999382019,32.2593879699707,40.562171936035156,46.3878059387207,66.87992095947266,72.60405731201172,68.56034088134766,68.416015625,68.38056182861328,70.05427551269531,77.76788330078125,80.41230773925781,84.32366180419922,87.2508316040039,94.68457794189453,97.38746643066406,104.937255859375,105.58098602294922,111.96812438964844,120.1177749633789,149.77243041992188,166.5874481201172,193.7925567626953,218.8935546875,253.96640014648438,313.8482666015625,360.10748291015625,411.68804931640625,100.78104400634766
2,4, is,1.0590819120407104,30.421524047851562,35.388153076171875,38.92985534667969,44.96516799926758,53.23725509643555,50.17274856567383,55.52613067626953,56.89453125,68.44161224365234,82.10739135742188,88.89278411865234,88.50968170166016,90.30709075927734,102.5655746459961,104.12480926513672,104.43190002441406,108.13783264160156,114.7171401977539,128.22853088378906,138.09552001953125,156.98480224609375,199.1887969970703,228.25735473632812,276.8742370605469,331.26397705078125,397.41241455078125,480.64019775390625,98.83030700683594
3,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
3,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
3,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
3,3, Italy,1.0833005905151367,43.79557418823242,49.22491455078125,54.97907257080078,59.705299377441406,69.45423126220703,66.2599105834961,66.13355255126953,70.91973876953125,74.10067749023438,79.24213409423828,79.58621215820312,87.81282043457031,88.46859741210938,94.81002807617188,96.98583984375,104.76173400878906,103.82231140136719,113.13579559326172,121.44699096679688,145.7409210205078,155.55545043945312,188.81871032714844,212.30899047851562,252.2008819580078,315.9950256347656,357.96771240234375,401.07940673828125,103.73851776123047
3,4, is,1.0590819120407104,31.47633934020996,37.80088806152344,42.19355010986328,48.10553741455078,55.81714630126953,51.958805084228516,56.25777816772461,58.2575569152832,69.29425048828125,78.68904113769531,82.32868957519531,86.62054443359375,86.74465942382812,102.94013977050781,103.3508529663086,109.7713623046875,108.79180908203125,115.59082794189453,128.84376525878906,139.30902099609375,148.52383422851562,189.9945068359375,215.7893829345703,259.083251953125,321.1459655761719,368.65264892578125,445.4908142089844,98.54635620117188
4,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
4,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
4,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
4,3, Spain,1.086293339729309,41.44682693481445,47.12445068359375,53.23843002319336,61.10432815551758,71.37348175048828,66.61389923095703,64.31140899658203,68.52706909179688,71.51351928710938,79.5313949584961,80.47855377197266,90.27002716064453,92.88895416259766,97.5131607055664,100.20939636230469,106.61475372314453,107.09640502929688,116.37570190429688,127.13473510742188,153.7931671142578,171.53643798828125,203.19845581054688,231.44212341308594,276.3459777832031,350.49859619140625,386.4434814453125,447.7484436035156,103.91297149658203
4,4, is,1.0590819120407104,30.784038543701172,36.53916931152344,40.60375213623047,46.9749755859375,54.47156524658203,50.69182586669922,54.5054817199707,55.52800369262695,70.00591278076172,75.03643035888672,82.45945739746094,88.56230163574219,89.47976684570312,99.96996307373047,103.8945541381836,107.92752838134766,112.74565124511719,122.19595336914062,139.11013793945312,145.4523468017578,158.41281127929688,202.9321746826172,234.46298217773438,286.84710693359375,347.8410339355469,394.4524230957031,510.4908752441406,99.76179504394531
5,0,The,0.9782152771949768,53.45667266845703,1985.3828125,4534.5859375,4545.94287109375,4648.05029296875,4664.66259765625,4689.88134765625,4715.2265625,4741.48583984375,4757.650390625,4773.97314453125,4781.71826171875,4789.7041015625,4805.36279296875,4813.53369140625,4813.68603515625,4805.7451171875,4797.66015625,4797.76513671875,4797.57421875,4781.197265625,4777.1943359375,4752.10400390625,4708.638671875,4601.947265625,4242.22900390625,2112.60693359375,118.36222839355469
5,1, capital,1.320278286933899,34.58565902709961,40.87362289428711,58.47325134277344,59.11439895629883,65.35185241699219,63.845550537109375,69.1104507446289,72.00379943847656,77.06963348388672,84.88167572021484,90.88475799560547,96.44519805908203,99.06653594970703,100.58069610595703,104.83231353759766,105.08352661132812,107.83975219726562,112.55097198486328,120.60064697265625,152.6623077392578,165.73355102539062,221.56130981445312,242.96861267089844,312.090576171875,373.4154357910156,418.95916748046875,529.6582641601562,94.6767807006836
5,2, of,1.0835603475570679,29.84450912475586,36.76594161987305,50.570674896240234,52.8167610168457,60.142974853515625,56.8371467590332,61.54037094116211,62.62189865112305,70.3222885131836,77.30665588378906,82.17997741699219,84.48919677734375,84.60688781738281,88.50924682617188,90.29704284667969,92.44105529785156,96.71537017822266,103.71314239501953,116.72757720947266,141.00112915039062,158.47010803222656,210.6858367919922,234.04429626464844,285.92742919921875,350.4910583496094,417.7970886230469,523.1641845703125,110.88236999511719
5,3, Brazil,1.0910404920578003,45.383663177490234,51.01573181152344,58.231082916259766,74.7973403930664,84.23372650146484,78.67110443115234,77.67384338378906,77.5502700805664,78.36835479736328,82.26414489746094,85.4093246459961,93.15421295166016,99.46641540527344,104.73743438720703,109.48133850097656,115.90263366699219,113.54166412353516,120.4567642211914,129.0103759765625,159.4808807373047,175.24571228027344,200.18850708007812,223.64044189453125,256.3746643066406,331.5064697265625,372.1532897949219,405.5293273925781,106.08055114746094
