prompt_idx,token_pos,token_text,cos_000_to_001,cos_001_to_002,cos_002_to_003,cos_003_to_004,cos_004_to_005,cos_005_to_006,cos_006_to_007,cos_007_to_008,cos_008_to_009,cos_009_to_010,cos_010_to_011,cos_011_to_012,cos_012_to_013,cos_013_to_014,cos_014_to_015,cos_015_to_016,cos_016_to_017,cos_017_to_018,cos_018_to_019,cos_019_to_020,cos_020_to_021,cos_021_to_022,cos_022_to_023,cos_023_to_024,cos_024_to_025,cos_025_to_026,cos_026_to_027,cos_027_to_028
0,0,The,-0.041410718113183975,0.4700720012187958,0.9882819652557373,0.9999686479568481,0.9999610781669617,0.9999592304229736,0.9999794363975525,0.9999752044677734,0.9999794363975525,0.9999892711639404,0.9999896883964539,0.9999876618385315,0.9999915361404419,0.9999876618385315,0.9999936819076538,0.9999958276748657,0.9999915957450867,0.9999906420707703,0.9999930262565613,0.9999939203262329,0.9999828934669495,0.9999755024909973,0.9999790191650391,0.9999570846557617,0.9998364448547363,0.9985277652740479,0.9314150214195251,0.1511216163635254
0,1, capital,0.07959288358688354,0.88282310962677,0.7711730003356934,0.9502718448638916,0.9050309062004089,0.9347977042198181,0.8943221569061279,0.9068328738212585,0.9278123378753662,0.9313214421272278,0.946027934551239,0.9395278692245483,0.9522311091423035,0.9642528295516968,0.971618115901947,0.9748279452323914,0.9794813990592957,0.9722747802734375,0.9657394886016846,0.9465857148170471,0.9725592732429504,0.9253774881362915,0.9600719809532166,0.9025115370750427,0.9591764807701111,0.9730002284049988,0.9522500038146973,0.49894025921821594
0,2, of,-0.04722980409860611,0.8253599405288696,0.7347603440284729,0.8889371156692505,0.8449105620384216,0.8949150443077087,0.8478274941444397,0.8560811877250671,0.8550308346748352,0.8611595630645752,0.8982619047164917,0.9099400639533997,0.9384903907775879,0.9245504140853882,0.9528526663780212,0.9644218683242798,0.967240035533905,0.9578659534454346,0.9347939491271973,0.917648196220398,0.9433647394180298,0.9127534031867981,0.9338496327400208,0.9554213881492615,0.9646335244178772,0.9593114852905273,0.9577441215515137,0.44671544432640076
0,3, Germany,0.02682982012629509,0.8913522362709045,0.8837206363677979,0.8870519399642944,0.844864010810852,0.9206980466842651,0.9171598553657532,0.9040940403938293,0.9251925349235535,0.9147697687149048,0.9358603954315186,0.900244414806366,0.9434056878089905,0.9344117045402527,0.9504037499427795,0.9577856063842773,0.9670663475990295,0.9567093253135681,0.955748975276947,0.9373812675476074,0.9599290490150452,0.9313749074935913,0.9525815844535828,0.9593784809112549,0.9558313488960266,0.9746583104133606,0.9740520119667053,0.4729001522064209
0,4, is,-0.04484318569302559,0.8932085633277893,0.8629833459854126,0.8600868582725525,0.849134087562561,0.890705943107605,0.8662580251693726,0.8813061118125916,0.807755708694458,0.872466504573822,0.9007192254066467,0.9005900621414185,0.9360873103141785,0.899649441242218,0.9349273443222046,0.9373562335968018,0.945296585559845,0.9425978064537048,0.9407434463500977,0.9280598759651184,0.9239243268966675,0.8835729360580444,0.916732907295227,0.940192461013794,0.9356240034103394,0.9413906335830688,0.9383742213249207,0.5902040004730225
1,0,The,-0.041410718113183975,0.4700720012187958,0.9882819652557373,0.9999686479568481,0.9999610781669617,0.9999592304229736,0.9999794363975525,0.9999752044677734,0.9999794363975525,0.9999892711639404,0.9999896883964539,0.9999876618385315,0.9999915361404419,0.9999876618385315,0.9999936819076538,0.9999958276748657,0.9999915957450867,0.9999906420707703,0.9999930262565613,0.9999939203262329,0.9999828934669495,0.9999755024909973,0.9999790191650391,0.9999570846557617,0.9998364448547363,0.9985277652740479,0.9314150214195251,0.1511216163635254
1,1, capital,0.07959288358688354,0.88282310962677,0.7711730003356934,0.9502718448638916,0.9050309062004089,0.9347977042198181,0.8943221569061279,0.9068328738212585,0.9278123378753662,0.9313214421272278,0.946027934551239,0.9395278692245483,0.9522311091423035,0.9642528295516968,0.971618115901947,0.9748279452323914,0.9794813990592957,0.9722747802734375,0.9657394886016846,0.9465857148170471,0.9725592732429504,0.9253774881362915,0.9600719809532166,0.9025115370750427,0.9591764807701111,0.9730002284049988,0.9522500038146973,0.49894025921821594
1,2, of,-0.04722980409860611,0.8253599405288696,0.7347603440284729,0.8889371156692505,0.8449105620384216,0.8949150443077087,0.8478274941444397,0.8560811877250671,0.8550308346748352,0.8611595630645752,0.8982619047164917,0.9099400639533997,0.9384903907775879,0.9245504140853882,0.9528526663780212,0.9644218683242798,0.967240035533905,0.9578659534454346,0.9347939491271973,0.917648196220398,0.9433647394180298,0.9127534031867981,0.9338496327400208,0.9554213881492615,0.9646335244178772,0.9593114852905273,0.9577441215515137,0.44671544432640076
1,3, France,0.03897146135568619,0.9077176451683044,0.8631275296211243,0.8317580223083496,0.8367422819137573,0.9247851967811584,0.920638382434845,0.9011832475662231,0.9189844131469727,0.9212294816970825,0.9393024444580078,0.8762215971946716,0.9177947044372559,0.9315938949584961,0.9457213878631592,0.9555234909057617,0.9674533605575562,0.9559085369110107,0.9492763876914978,0.9316345453262329,0.9627344608306885,0.9399853348731995,0.9556415677070618,0.9659165740013123,0.9590226411819458,0.9792112708091736,0.9760798215866089,0.4365456998348236
1,4, is,-0.04074760526418686,0.8860576152801514,0.880448579788208,0.8576011061668396,0.8468690514564514,0.8918919563293457,0.8654693365097046,0.8745211362838745,0.8052583336830139,0.892620861530304,0.9018353819847107,0.9122846722602844,0.9368672966957092,0.8970308899879456,0.9335769414901733,0.9409306049346924,0.948249101638794,0.9466409683227539,0.9441670179367065,0.9392019510269165,0.9206251502037048,0.8900942802429199,0.9103609323501587,0.8915335536003113,0.9458282589912415,0.9330182075500488,0.921784520149231,0.6356561183929443
